,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.001951553438047857,-0.000983177217857519,-0.009794437919068559,-0.008826137648996618,0.005297272719829844,0.0062657191372823004,0.0009683951189388359,0.017847713965015895,0.018816281920346872,0.00022017686593856197,2.974727345521518e-05,0.0,2.8865798640772593e-12,-0.2998178539727916,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],2.1008720328810537e-08,-4.520987068666157e-08,5.041324264687573e-08,-1.580535425445042e-08,-6.16854811465342e-09,-7.238714562787235e-08,-6.621859391674005e-08,7.304269845205221e-08,6.824095098377869e-09,1.8461878023480935e-08,1.4127166875491666e-09,0.0,0.0,-4.7247480702261e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.0001416863723057164,0.00019307345190246674,0.0004907534421199224,0.0005421407010819595,-0.0001809406551029126,-0.00012955374130944482,5.138700678871594e-05,-0.0012071747715115303,-0.0011557883850546095,-0.00010040368713920607,-7.496341358630546e-05,0.0,6.994405055264128e-13,0.00949480572145015,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.011041984602894694,0.025784320476597226,0.023631928571373337,0.03837612029196636,-0.000594335603704998,0.014146284993990222,0.014740708206964588,-0.09653955140418646,-0.08181307381080231,-0.015343532188608422,0.013673894545245091,-0.23023791250958828,4.773181849856677e-10,1.6114857588167184,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],6.4306006697019604e-06,1.5570456990793038e-05,1.2498534611892097e-05,2.1638391477963858e-05,8.2228166366972e-07,9.962137469243686e-06,9.139855729532095e-06,-5.528446683989118e-05,-4.6144616174741185e-05,-9.326428849278822e-06,5.344944665015518e-06,0.0,0.0,-3.430760331961345e-05,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.00010431552855065717,-0.00023139464176463736,-0.00026082134766019014,-0.0003879002619909555,4.033577649616943e-05,-8.67435205485786e-05,-0.00012707924578078656,0.0009540270108931146,0.0008269465527412108,0.00013671757312538617,-6.714002037404399e-05,0.0,-1.5099033135173356e-12,-0.0262860967966816,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-2.6594271136119867e-06,-9.135158364100377e-06,-5.947556397148088e-07,-7.070487019388037e-06,-4.567710299929261e-06,-1.1043441443077535e-05,-6.475731421856626e-06,2.1507489344457146e-05,1.503175652425703e-05,5.704795192684976e-06,-1.3991513648220337e-05,0.0,-9.992007221805897e-14,-0.00025864843461979116,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],0.00016802807503577607,0.0002777474098605094,0.0005324372780497095,0.0006421570126969639,-0.00016877899757491974,-5.906003230013743e-05,0.00010971915046956442,-0.0014787294519436893,-0.0013690119239292804,-0.00015348067677718947,-3.951290404093197e-05,0.0,1.3322676295741197e-12,-0.011097354501079707,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.015495520455667527,0.04145480648055309,0.0201514672223737,0.046111961710532834,0.011192237805814114,0.037150406902316614,0.025955264121622263,-0.12422716377551035,-0.09830414314236594,-0.025135559805852626,-0.01325385398249841,-0.07674597083654307,1.9423351816166018e-10,0.23815822718564422,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],2.7669042597094066e-08,-5.421600414380489e-08,5.595842422496425e-08,-2.5926619149841087e-08,1.5224367112291166e-09,-8.03626252004292e-08,-8.188505182681085e-08,1.0243993885213841e-07,2.0554887381752784e-08,2.0622419103251863e-08,4.294782467948478e-09,0.0,0.0,3.568242572439413e-07,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-4.6073441575956685e-05,0.00012397059661646442,-0.0005375589063077076,-0.00036751570385671066,0.000408184516929133,0.0005782293275480307,0.00017004411653900872,0.0006134461859480357,0.0007834913456093599,-9.631210093171911e-05,-0.00022245661801834285,0.0,9.436895709483348e-13,-0.041869498685057426,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],1.5195545293503265e-08,-1.588605497432046e-08,4.9209539020495634e-08,1.8127940668801263e-08,-1.6242062650099872e-08,-4.732366468891598e-08,-3.1081597684671985e-08,-1.8099700516506206e-08,-4.9181301844841404e-08,6.928676318169161e-09,-1.526111944625987e-09,0.0,0.0,-4.925626557198695e-07,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],1.335705911248287e-06,3.135011896739072e-06,2.6170275623721286e-06,4.4163335578477e-06,1.5143783532363072e-07,1.9507437877103705e-06,1.7993059550466452e-06,-1.1228297286250504e-05,-9.428991538901137e-06,-1.8743886035075545e-06,3.9143110982383674e-07,0.0,0.0,-1.0435266876621997e-05,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],3.882800750866322e-08,-4.784839853953421e-08,1.8715440858483181e-07,1.004780105025955e-07,-9.826341657090054e-08,-1.849398178001958e-07,-8.667640381634281e-08,-1.4841117796591667e-07,-2.35087583055429e-07,2.8013821313648354e-08,1.3046250114360377e-08,0.0,0.0,6.415999909176246e-08,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-8.937368566376126e-09,-4.547908942116507e-07,5.978952610433624e-07,1.5204172794910565e-07,-5.698055231302446e-07,-1.0156590658881671e-06,-4.458535245366368e-07,1.0943633678864985e-07,-3.36417199731816e-07,3.0517233031008696e-07,1.2711900891119473e-07,0.0,-1.1102230246450997e-14,-2.2210841871379625e-05,0.0
15,O + [Pt] <=> O.[Pt],2.774997049434001e-07,6.583457648699377e-07,4.6759813436496615e-07,8.484441939705473e-07,1.0180028162033485e-07,4.826463300275929e-07,3.808460534410687e-07,-2.2102305730761532e-06,-1.8293845319066642e-06,-4.065128012347169e-07,6.444549504934176e-07,0.0,-1.1102230246450997e-14,-1.222434438731203e-06,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],-3.468159850061969e-06,-8.735292117756146e-05,0.0001264173834136951,4.2532513137866764e-05,-0.00012351553854453835,-0.0002074001991757431,-8.388476423308826e-05,-6.832191911907582e-06,-9.071695042141203e-05,5.991414728731481e-05,6.212058317702716e-05,0.0,-1.1213252548915506e-12,-0.004369062832250685,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],7.946962180081806e-09,-7.617154807638111e-08,6.878797986566774e-08,-1.533053953333052e-08,-4.828564814464854e-08,-1.324041618888539e-07,-8.411850604759287e-08,1.0031680727086707e-07,1.619829839369565e-08,4.327949954538031e-08,-1.7564804192329967e-09,0.0,0.0,-2.319023007410773e-06,0.0
18,[H] + [Pt] <=> [Pt],-1.122177262281946e-08,-3.489223205702925e-08,8.360983201328694e-10,-2.2834360551664446e-08,-2.2366309672192495e-08,-4.60367695043624e-08,-2.3670460499064074e-08,6.043434589483008e-08,3.676388134786974e-08,9.796323820483225e-09,-1.214378413084086e-08,0.0,0.0,-5.570573194864772e-08,0.0
19,C + [Pt] <=> C.[Pt],0.006145369118443573,-0.0038997704811682523,0.005856888611748967,-0.004188222011378074,0.006411998704549663,-0.0036331676767386006,-0.010044522326641067,0.02743015704989566,0.017382879494997103,0.006484757634518582,-0.0006142471643264787,0.07674597083652943,-6.578071421022215e-11,-0.14881555568270297,0.0
20,[CH3] + [Pt] <=> C[Pt],2.3858840463236172e-08,-5.4619334005706496e-08,5.5362113421449895e-08,-2.3116065685739154e-08,-5.258220948305728e-09,-8.373639113032543e-08,-7.847817026206648e-08,9.711939525834048e-08,1.8641214423339043e-08,2.3229496138595357e-08,1.3166689481079767e-08,0.0,0.0,-1.8689428448798915e-08,0.0
21,[H][H] + [Pt] <=> [H][H].[Pt],1.089254107725794e-05,3.4238832554205244e-05,-7.2764172502173106e-06,1.6069869973497313e-05,2.7685293896389728e-05,5.1031589280411725e-05,2.3346288928282215e-05,-5.761966166466429e-05,-3.427338619644011e-05,-2.1037179006506187e-05,-6.328268086057646e-05,0.0,1.1102230246450997e-13,-0.0009280321752881776,0.0
22,[OH] + [Pt] <=> O[Pt],-1.578783367381936e-07,-6.289765623271551e-07,-2.485758937829473e-08,-4.959558237438627e-07,-2.808234319651476e-07,-7.519216613800633e-07,-4.7109823385080804e-07,1.4933378588290935e-06,1.0222396124864172e-06,3.740607295590289e-07,5.084135517833199e-07,0.0,-1.1102230246450997e-14,-2.748035231839491e-07,0.0
23,[CH]=O + [Pt] <=> O=C[Pt],1.7168913453932644e-08,-3.9049382449475926e-08,4.12745806749787e-08,-1.4943733201711955e-08,-5.110861021986541e-09,-6.132917637053481e-08,-5.621830121320541e-08,6.675949066035356e-08,1.054118899624084e-08,1.6216449167736388e-08,2.25398463914752e-09,0.0,0.0,-5.858225451100816e-08,0.0
24,O=C=O + 2 [Pt] <=> O=C=[Pt] + O=[Pt],0.003292162183793538,0.012640391944081784,0.00012612195071426576,0.009474055752039105,0.006218391087711996,0.015566894389588385,0.009347922011532122,-0.029543907428824345,-0.02019874715872333,-0.008038464359533686,0.009253392338463985,0.0,-2.7899904609331355e-11,-0.20986473335372274,0.0
