,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-1.17725054626113e-08,-1.1772505687598361e-08,-4.381398932726507e-08,-4.381399016460429e-08,3.022121961094986e-08,3.0221217079394525e-08,0.0,5.197060769719694e-08,5.197060869041917e-08,3.36253579904311e-09,0.0004886880572819452,0.0,0.0,-0.11713228577888563,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],5.002209516129867e-10,5.002209611728244e-10,2.5676540121066073e-10,2.5676617338557563e-10,-1.2178158592818315e-09,-1.2178197689558103e-09,0.0,-2.8311676961048327e-10,-2.8311677502119284e-10,1.265211916691881e-10,-7.590349132303218e-08,0.0,0.0,7.859737393539309e-07,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],2.3385259424272034e-09,2.3385259871193103e-09,1.2768019532833406e-08,1.276801926533409e-08,-5.9596492244186454e-09,-5.959650818848213e-09,0.0,-1.543676663636359e-08,-1.5436766931379187e-08,-3.7063294853353694e-10,-7.208011095688923e-05,0.0,0.0,0.017744592513140464,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],1.1380189270082e-07,1.138018688098878e-07,4.085109691365323e-07,4.085109541448644e-07,-2.5920143629260426e-07,-2.592014527364887e-07,-2.220446091685768e-14,-4.847300801741183e-07,-4.847301033092248e-07,-2.921211738475633e-08,0.002525401979290523,0.0,1.1102230310222076e-14,2.8492766488053323,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],2.1004284891738574e-08,2.1004285293156292e-08,7.350649723881964e-08,7.350649575508157e-08,-4.7054196111815835e-08,-4.705419442014605e-08,0.0,-8.920252028718778e-08,-8.920252199195764e-08,-5.292896541969724e-09,-2.2244615628825064e-05,0.0,0.0,-0.00019934082425405149,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-6.395407449657694e-09,-6.395407571881796e-09,-2.5366372624737782e-08,-2.5366373109520368e-08,1.64365585252339e-08,1.6436555730236733e-08,0.0,3.0126060588354406e-08,3.012606116410048e-08,1.5060517340263556e-09,0.0002096673527202315,0.0,0.0,-0.1578566943213686,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-4.262756737675639e-09,-4.262756819142164e-09,-1.4516678301940257e-08,-1.4516677933251572e-08,9.076772944172005e-09,9.076770156573619e-09,0.0,1.720330984622685e-08,1.7203310175003262e-08,1.2076847138101327e-09,0.000185572396669428,0.0,0.0,-0.0849213091037624,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],-1.7997053415307855e-09,-1.7997053759253684e-09,-7.630601567821269e-09,-7.630602829677359e-09,4.9713610370274675e-09,4.971357893369608e-09,0.0,8.924068042763821e-09,8.924068213313738e-09,7.053106551997966e-10,0.00020241074881909837,0.0,0.0,0.03839279074345212,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],3.4319344207732278e-09,3.4319344863617157e-09,7.809030024950185e-09,7.80902952807009e-09,-5.379240359695078e-09,-5.379242582353534e-09,0.0,-9.384446155014232e-09,-9.384446334362542e-09,-6.319991619185757e-10,0.0003280837459982569,0.0,0.0,0.5773255353940758,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-5.520296048743598e-11,-5.520296154243259e-11,-3.9210309103051095e-10,-3.921023763896716e-10,-9.51075131081844e-10,-9.51076703818068e-10,0.0,7.095420394502883e-10,7.095420530105096e-10,-7.119675312882845e-11,1.4169843774470866e-08,0.0,0.0,3.053833713304559e-06,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],1.0545638677617357e-09,1.0545638879157481e-09,2.2358772887230797e-09,2.2358761038249455e-09,4.948613505444846e-10,4.948613600018935e-10,0.0,-2.7216532394517657e-09,-2.721653291465906e-09,-6.100511121159417e-10,1.5345425929522547e-05,0.0,0.0,-0.0014661559260438796,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],1.0095248616933426e-10,1.0095248809866043e-10,5.3035173995848446e-09,5.303515268889769e-09,-7.966443197508203e-10,-7.966461638698002e-10,0.0,-4.256549063878394e-09,-4.256549145226281e-09,-8.377909793028084e-11,-6.842483653626742e-08,0.0,0.0,-3.672878894244615e-05,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],1.091625811082506e-09,1.091625831944818e-09,2.774967008956976e-09,2.7749646067330086e-09,-2.8070795517097547e-09,-2.807079605356497e-09,0.0,-3.219706007307358e-09,-3.2197060688398994e-09,-9.60631323260271e-11,-1.1060961771767177e-07,0.0,0.0,-6.9248559970619875e-06,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],2.2174515739028422e-09,2.217451616281069e-09,1.33072316795055e-08,1.3307231400071542e-08,-8.001117467241943e-09,-8.00111956335315e-09,0.0,-1.387284426998804e-08,-1.3872844535115157e-08,-7.218401790491184e-10,-1.5023500352128038e-05,0.0,0.0,-1.4084026919073152e-05,0.0
