,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.0005980610524708045,3.3176764983707336e-05,-0.0032334933138074002,-0.0026022719901309835,0.002018571731284183,0.002649827468119354,0.000631242222578636,0.009851878103555273,0.010483181753761365,-0.0002537671304608811,8.072624941777303e-05,0.0,0.0,-0.4189936543549328,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-7.262698532509272e-10,6.675405729355241e-10,-6.137002838673263e-10,6.346558392687495e-10,-8.16653667521044e-10,6.288789335091995e-10,1.4669201394568004e-09,-3.7187430093657873e-09,-3.5276313347043826e-09,-5.592648494148238e-10,8.67755176235506e-11,0.0,0.0,4.620210385773352e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],4.766409838914998e-05,1.8418443271698477e-05,0.000226032249989842,0.00019678675820534306,-0.0001294317221715082,-0.0001586777202096151,-2.9246153033751535e-05,-0.0007635046623478885,-0.0007927491603579829,-2.2642156094773412e-06,-0.0001006907204581234,0.0,0.0,0.020533655036729926,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.0018000006796474737,0.003990040786377071,0.004124877175194834,0.006314967998556985,-0.000508291771326579,0.0016816978033407691,0.002190000617362377,-0.027629007904935443,-0.025439614250845625,-0.003614794498614679,0.022712924922972937,-0.08865248226948591,0.0,2.163306690426372,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],3.986930564103989e-06,6.783051944050169e-06,1.2442637338055972e-05,1.523905503228862e-05,-4.408759871577736e-06,-1.6124027814785497e-06,2.796267610396071e-06,-6.418616296257946e-05,-6.138993348209965e-05,-5.81740663388902e-06,5.058133704613335e-06,0.0,0.0,-4.145876315003639e-05,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-3.105929488303886e-05,-6.829074813267194e-05,-7.561066523699482e-05,-0.00011284219422857855,1.317423847633387e-05,-2.40572866369355e-05,-3.7231557140828884e-05,0.0004918124002531922,0.0004545806600037531,6.185541668934516e-05,-0.0001617697591320995,0.0,0.0,-0.07791519339130293,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-8.068273081183884e-06,-2.0068025840297924e-05,-8.956822200569459e-06,-2.0956691665171288e-05,-7.18629062973991e-06,-1.9185842537642593e-05,-1.1999544264125967e-05,9.642319521408967e-05,8.442285792461652e-05,1.840033596588728e-05,-0.00033513245231829467,0.0,0.0,-0.001527899290693274,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],4.5571013033400966e-05,3.703137481293289e-05,0.0001922973358367722,0.0001837576204190264,-0.00010010865303758988,-0.00010864851736777825,-8.539691535795062e-06,-0.0007317219288782386,-0.000740263228542764,-2.3017854349912674e-05,-7.269632468178138e-05,0.0,0.0,0.000894615046805752,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.003291955566274731,0.011240839329126426,0.002627949345315022,0.010576780139884672,0.003951225140413986,0.011900161593265813,0.007948622319927927,-0.05055268349028791,-0.042608079187759273,-0.010843365218990755,-0.014698068150770701,-0.08865248226948591,0.0,0.34907718328904436,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-7.984470869263834e-10,1.7360010608380497e-09,-7.525754908187927e-09,-4.895551212075225e-09,5.5594395142063884e-09,8.376125126039927e-09,2.8359071188311417e-09,1.7352506456726503e-08,1.9417024638698e-08,-2.255463274884068e-09,2.333631758250483e-10,0.0,0.0,9.490148979854331e-07,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-2.8975248532820073e-05,8.943423345059768e-06,-0.00017055204575093283,-0.00013263348149762294,0.00011159138361532405,0.00014951021690687345,3.791887728687029e-05,0.0004963921032178319,0.0005343109203731124,-2.006581049906008e-05,-0.00013914411273205184,0.0,0.0,-0.02684285721144435,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],3.4969271715975755e-09,8.669219825657369e-10,1.8036139366938817e-08,1.5327596704799417e-08,-1.0915528689279725e-08,-1.3647117586631088e-08,-2.7085414250368504e-09,-5.8837127069357424e-08,-6.154566646282903e-08,5.19789027677159e-10,-5.622408103634477e-09,0.0,0.0,-9.69118669807033e-07,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],1.044196718835893e-06,1.5282745610033544e-06,3.5758977764706186e-06,4.060352537197281e-06,-1.46944485785915e-06,-9.853751591281617e-07,4.841736237130426e-07,-1.6840595314996722e-05,-1.6356732759050947e-05,-1.2571435671720218e-06,1.1601341938320585e-07,0.0,0.0,-1.1501535692368962e-05,0.0
