,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.0011919423871066953,-9.587586899893389e-05,-0.006537703763117024,-0.005441695838788163,0.0039044882833986203,0.005000610662453569,0.0010960795827565735,0.014640390542355405,0.01573663059544526,-0.0002577334391735109,6.486648884836397e-05,0.0,0.0,-0.35719901196797965,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],0.006849914514360362,0.006071067630960022,0.004964159351476126,0.004185327154219405,0.008647716506109916,0.00786885562155829,-0.000778793536700817,0.002840217009423463,0.0020614013532914543,0.0012417491311433237,0.0008756515806985457,0.0,0.0,-8.31097287154475e-10,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.0001044364428127344,0.00011155741780827377,0.0004009736996650099,0.00040809469580024545,-0.00017827007259927185,-0.00017114911772714801,7.1209675740910454e-06,-0.0011871957893047405,-0.0011800749062657872,-6.462564644884839e-05,-9.07197639068379e-05,0.0,0.0,0.012397550501812621,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.006806575392253211,0.01564166238555269,0.01494731423383432,0.02378312041955894,-0.0009544726970028572,0.0078799286476345,0.008834485667387483,-0.07760447409864567,-0.06877684438740288,-0.011346818645884554,0.016100667745491324,-0.1619433198380676,0.0,1.7004880724357898,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.0068588042706638815,0.0060915364764059605,0.004984654126705739,0.004217400711234819,0.008645542511110901,0.007878261008741462,-0.0007672151724594738,0.002735695526394959,0.0019684593652648207,0.0012268626204713275,0.0008813764178778175,0.0,0.0,-4.538176022042051e-05,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],0.005058318745307625,0.005210116683832037,0.003037928851409572,0.003189723723199657,0.006984475993529126,0.007136276855771374,0.00015179026050338705,0.0026650049073444516,0.0028167992130712365,0.0009436094920156189,0.0006869027712909846,0.0,0.0,-0.0392371192140063,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-5.441018305894455e-06,-1.6445960146266868e-05,-3.828642289855285e-06,-1.48335843017176e-05,-6.9781917789612655e-06,-1.798313345584221e-05,-1.100494244151077e-05,5.3892698114159375e-05,4.288774974597894e-05,1.2375578441060442e-05,-3.499483996468011e-05,0.0,0.0,-0.0004597353452628218,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],9.91622959080203e-05,0.00014744377086924824,0.00033316647497912166,0.0003814480629184652,-0.00012392773585732708,-7.564636861661247e-05,4.828142708506975e-05,-0.0011513797221094281,-0.0011030988509216284,-9.693667446936296e-05,-4.137822145021911e-05,0.0,0.0,-0.010478120099897032,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.02266054033623012,0.03776535643459123,0.02453495697917444,0.03964005614058374,0.02087354802651695,0.03597809426413495,0.015101394040887306,-0.11013186207473084,-0.09504709948029466,-0.01995144021427659,-0.013285124528326657,0.0,0.0,0.320094081428732,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-7.82374223253064e-09,1.5611004130880382e-08,-2.4317926586585013e-08,-8.831609298045347e-10,7.901139802870496e-09,3.133588629062011e-08,2.3434752144740608e-08,-1.1823208488680359e-08,1.161154055900093e-08,-9.367808471780007e-09,1.616195478917779e-10,0.0,0.0,6.204631647628527e-07,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-3.95606283532947e-05,7.684153649095082e-05,-0.0003825225991535277,-0.0002661208335155392,0.0002874053141809401,0.00040380785961886264,0.00011640221089148243,0.000653196275699048,0.0007695992469257116,-7.562424599381499e-05,-0.00023203880586414134,0.0,0.0,-0.037330203503432205,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],1.3021773032489991e-08,5.118613463299564e-09,4.071945569421222e-08,3.281630067949906e-08,-1.3384066938766197e-08,-2.1287230850009323e-08,-7.903160969597588e-09,-7.866335995247963e-08,-8.656652505870795e-08,-9.62352514268646e-10,-4.539483847510657e-09,0.0,0.0,-5.591632872165211e-07,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],1.6732636120874003e-06,3.709520241339788e-06,3.9017282329988485e-06,5.937984936352734e-06,-4.512635868149091e-07,1.5849930273456848e-06,2.0362566090158873e-06,-1.9199392570200804e-05,-1.716313634818874e-05,-2.6703315311544232e-06,3.4937393057508865e-07,0.0,0.0,-1.550323975467754e-05,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],0.006849957290470239,0.006071086414200432,0.00496435908156272,0.004185502890677243,0.008647609648693799,0.00786872477198985,-0.0007788175275931241,0.002839767042106313,0.0020609273979075825,0.0012417588479387426,0.0008756802121200346,0.0,0.0,1.5074865886193871e-07,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.00684945893199997,0.0060707527263303635,0.004964011648822007,0.004185320124263842,0.00864696740380587,0.007868247201800965,-0.0007786528721606591,0.002839660068981912,0.0020609850857257537,0.0012418055329377932,0.0008757219318831211,0.0,0.0,-2.215953406216239e-05,0.0
15,O + [Pt] <=> O.[Pt],0.006850073482251105,0.006071659134829227,0.004964364697449175,0.004185965027650955,0.008647831259030242,0.007869402918561138,-0.0007783610291139498,0.0028379680964663676,0.002059584977721165,0.0012413123489888411,0.0008764065929236593,0.0,0.0,-7.759119110779228e-07,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],5.721341665001923e-06,-3.2179588770053326e-05,8.761121101964716e-05,4.971024956957911e-05,-7.234911685874316e-05,-0.0001102500176883156,-3.7900928262103515e-05,-0.00010587857790370267,-0.0001437794660414355,2.8798860203438114e-05,6.671162950343928e-05,0.0,0.0,-0.004808223975739182,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],-9.741305638910833e-10,-3.1736336304680234e-08,3.357584362657732e-08,2.8136332472691973e-09,-3.391267734345956e-08,-6.467488538997546e-08,-3.0762207866786183e-08,2.0067416302185768e-08,-1.0694791208660662e-08,2.510109425410413e-08,-2.140802865696522e-09,0.0,0.0,-3.285928960183463e-06,0.0
18,[H] + [Pt] <=> [Pt],-2.992219048908686e-08,-7.816830668147618e-09,-3.906194111277217e-08,-1.6956561655226376e-08,-2.1208737138510544e-08,8.966342694871146e-10,2.2105372612637776e-08,2.704359944005126e-08,4.914897405852017e-08,-2.0626590151468467e-09,-2.043507137643809e-08,0.0,0.0,-3.381430297829434e-08,0.0
19,C + [Pt] <=> C.[Pt],-0.0001632791762627535,-0.0007700157822479127,0.0001660065393736928,-0.0004407320644975038,-0.000477206735405924,-0.0010839414366695752,-0.0006067375966532905,0.0018811918908002148,0.0012744428802481842,0.0006087202792041545,-0.002025675157006848,0.0809716599190266,0.0,-0.22987134304868936,0.0
20,[CH3] + [Pt] <=> C[Pt],0.006849896674360858,0.0060711036177311835,0.004964116605210167,0.004185338233918851,0.008647722410728123,0.007868915353714864,-0.0007787397137617613,0.002840170254319375,0.002061408423030796,0.0012417343722571346,0.0008756602338876961,0.0,0.0,3.26760610415393e-09,0.0
21,[H][H] + [Pt] <=> [H][H].[Pt],0.0068339578556998026,0.0060859669320356925,0.004927393495243056,0.004179416831539057,0.008651598486950988,0.007903593968448279,-0.0007479398097651141,0.0028016577780075195,0.002053697013531417,0.0012190949203777048,0.0007913352957196136,0.0,0.0,-0.0008804475059484884,0.0
