,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.00218105588159893,-0.0009467642101108151,-0.011422769895232837,-0.010188592295941759,0.006188345816138989,0.007422740245290704,0.0012343185926662903,0.01727499014519604,0.018509519419853952,0.00012055151580041989,-5.927748855260437e-05,0.0,5.469592384742131e-10,-0.29624288194916165,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],6.754931115887025e-10,-3.871173033132164e-10,2.214396673008257e-09,4.040439124996893e-10,7.886592935173559e-10,-4.143246780667396e-09,-3.4250972218079746e-09,-1.118410638808669e-10,-1.3706216147639374e-09,9.732149580558896e-11,5.311830716749648e-10,0.0,-1.110223027290037e-15,1.6255077989027308e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.00015515829382622715,0.00021470051776758108,0.0005360544067053457,0.0005955982045905359,-0.00018978515367891292,-0.0001302439435986669,5.954190590339366e-05,-0.0011415574460988587,-0.0010820153781140008,-9.981915484800157e-05,-6.923499755476525e-05,0.0,6.968163436736739e-11,0.008175661232493104,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.01226540776778372,0.02818706290790266,0.026782044613007025,0.04270601075852693,-0.0008810234171035996,0.015038538870541268,0.01591969943242298,-0.09348781415364774,-0.07758299837330157,-0.014906664275094891,0.012456027757382616,-0.15026296018031235,5.19696407156975e-08,1.534939835403356,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],4.94432077503e-06,1.2706893385856194e-05,8.310427253116646e-06,1.6074283078908298e-05,1.8965849075620696e-06,9.65850890584018e-06,7.76257222844461e-06,-3.6968975207021625e-05,-2.920428142435709e-05,-6.841380924207355e-06,5.546946671899145e-06,0.0,-1.223768564171972e-12,-4.285919312959058e-05,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.00010598254119483781,-0.0002228981793978826,-0.0002864830198977875,-0.0004033959427249244,5.748127234561485e-05,-5.943508739113517e-05,-0.00011691576211239293,0.0008497584914662037,0.0007328479523411751,0.00011622572916426561,-6.254033451637503e-05,0.0,-1.4578792753492997e-10,-0.02573465234781327,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-1.1804096385385304e-06,-4.8747316012970924e-06,1.0864221384318847e-06,-2.6073223949636467e-06,-3.2324406291960454e-06,-6.927600120504586e-06,-3.6943220057976916e-06,8.430807690322653e-06,4.73485898929597e-06,2.7876182155102763e-06,-9.082353242882331e-06,0.0,-6.9605937342779426e-12,-0.00019320238260452414,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],0.00014900289352293028,0.0002534543362681155,0.0004639094575571197,0.0005683612292243221,-0.00013617978035740643,-3.1728921766655685e-05,0.00010445128711089636,-0.0011369836240464038,-0.0010325328162267737,-0.0001256279266500214,-2.6122726614917155e-05,0.0,1.1826819745189527e-10,-0.008378318005889916,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.01812392611135801,0.048250080490570287,0.02268249806177513,0.05281002911708778,0.013995632602961506,0.044120546875360746,0.030120699703093785,-0.12602065878999355,-0.09593792169058012,-0.026053044279726465,-0.013088986411312009,-0.07513148009015617,2.2381657956410174e-08,0.2901691778187639,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],6.274336958996884e-10,7.583743316995578e-09,-1.0639543882966002e-08,-4.263380050383223e-09,1.1286557081839946e-08,1.8312634770125723e-08,7.026075795627128e-09,-3.970778586815491e-10,9.119987847036614e-09,-4.9763054280655565e-09,1.0435879343452833e-11,0.0,7.723290624626341e-15,4.7032314613147754e-07,0.0
