,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.002667470198229309,-0.0011222680904034114,-0.014662180282587268,-0.013117157029032187,0.007792895919561823,0.009338259611988647,0.0015452403669785645,0.01667645691273593,0.018221964303990888,9.394936610805879e-05,-0.00015923752434899338,0.0,1.2662622068437672e-07,-0.2439753541665173,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-4.2692965195013174e-10,-1.272136869990461e-09,-4.988132481977637e-10,-1.2143682240532617e-09,1.1217583155792904e-11,-2.423312388077462e-09,-1.5475361467702553e-09,8.133341621961876e-10,-1.8575674221511685e-10,2.2826573305881563e-10,2.081548618247648e-10,0.0,-5.736156096723672e-14,1.579043660790871e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.00016205684457931316,0.00022502939499878747,0.0005640948432644101,0.0006270698544867131,-0.00018855269193190284,-0.00012558182617936308,6.297209487203524e-05,-0.0009340313447401044,-0.0008710597752842273,-8.489453604513332e-05,-5.729860767952692e-05,0.0,1.15069241593358e-08,0.006204976255467637,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.014133035667465469,0.031129917081087543,0.03214726180644623,0.04914720127110119,-0.0015768398483898183,0.015417369850707453,0.01699448038861577,-0.08522698380262633,-0.0682469852289676,-0.013277029192227062,0.010506798173617623,-0.2150537634408556,1.0396817859184734e-05,1.439269159964364,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],9.151116842802261e-08,2.3599313131715056e-06,-3.0242312132566796e-06,-7.559005513696405e-07,2.80741486481418e-06,5.076677135211943e-06,2.268919993977419e-06,-1.2219707979859995e-06,1.0479111764988116e-06,-1.1822147469169481e-06,5.2504479839109465e-06,0.0,-7.080988641736372e-10,-4.2477454468634946e-05,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.00010703462810860363,-0.00020609531306249127,-0.00032313797284044674,-0.0004221995738983881,8.142263474549138e-05,-1.7636337326243973e-05,-9.906011070021316e-05,0.0006854943099229795,0.0005864269058585761,8.580442757795136e-05,-5.201563165402962e-05,0.0,-2.659786832285659e-08,-0.020069429783642498,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],1.5750381985413456e-07,-8.231525699731986e-07,2.1652653425176783e-06,1.1824503508573013e-06,-1.5926597450413202e-06,-2.5763118587765673e-06,-9.828837652791812e-07,-6.632026372579914e-07,-1.6459494513221179e-06,4.5978531681383134e-07,-4.2990887137807264e-06,0.0,-6.858884677671215e-10,-0.00012039384037905718,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],0.00015052189440963097,0.0002492091939024822,0.0004827999371453952,0.0005814873348377056,-0.00013925298751082932,-4.056625498398965e-05,9.868686995584945e-05,-0.0009064022000765851,-0.0008077187562992212,-9.958313521828206e-05,-1.826585068243147e-05,0.0,2.078876492587694e-08,-0.0061838651458941815,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.020457218747049283,0.05315743774833685,0.023907414392807916,0.0566087610125625,0.017448365895596195,0.05014760215345902,0.03269352983424836,-0.11128251560054582,-0.07862536970568397,-0.02325433224048877,-0.01210268835190741,-0.07168458781361854,4.334626557637713e-06,0.281360391706378,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],1.7028909544320763e-09,7.818517258423155e-09,-8.68826041260083e-09,-8.485700518148221e-09,1.2079304933721561e-08,1.9666197288145308e-08,9.828081131860639e-10,7.492146500116555e-09,8.527207350653666e-09,-2.5334326093948515e-09,4.242734235073583e-10,0.0,1.1065230147874264e-12,4.012533131878844e-07,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-5.5318740113227176e-05,0.0002325540978226813,-0.0008930918163767037,-0.0006052201226226167,0.0006752857361974341,0.0009631616000326952,0.0002878742647318157,0.0005529241508039355,0.0008408001725243655,-0.00012663370945443326,-0.000216454370748403,0.0,2.301489256342019e-08,-0.04445692510058383,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],1.0834213834651302e-08,-3.6595805198833143e-09,4.6058633298925796e-08,3.3369713219734724e-08,-1.8724978031751652e-08,-3.595214961565663e-08,-1.5505514305605594e-08,-4.031782304467584e-08,-5.133347754358467e-08,-6.077660578994212e-11,-1.8764450797706097e-09,0.0,-1.3544729880005694e-13,-2.54530698173915e-07,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],4.0505430431975514e-07,1.4412126018117523e-06,-1.2797485873994018e-07,9.069699501357447e-07,8.692799361072241e-07,1.9060575474923653e-06,1.0361582941652246e-06,-2.293618445899118e-06,-1.259213719077144e-06,-6.562933959478389e-07,5.66146402084349e-07,0.0,-4.03636456393965e-11,-1.562441400897898e-05,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],2.7777768710586287e-08,5.136840997589062e-09,1.4763458969726628e-07,1.2826050821457116e-07,-7.996474167980371e-08,-1.0223705269070061e-07,-2.3347607196779616e-08,-1.5711618662637335e-07,-1.8048702510590268e-07,1.0527821152558364e-09,-2.2925788915226296e-09,0.0,-2.0872206700337793e-12,6.575408195763013e-08,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-1.1536597896574201e-07,-9.385776092918136e-07,1.035768436939066e-06,2.1207413401555365e-07,-1.120821654655367e-06,-1.94289240254768e-06,-8.227166832107084e-07,5.264706332499534e-07,-2.955694098065771e-07,4.5538517182289633e-07,1.889321788493188e-07,0.0,-1.4120658455846974e-10,-2.510349605309452e-05,0.0
15,O + [Pt] <=> O.[Pt],5.230724810370821e-08,1.1836548787380229e-08,3.412358076629362e-07,3.01545339397784e-07,-2.0112269340213002e-07,-2.408131645945871e-07,-4.4253370957589955e-08,-3.7978069103537606e-07,-4.185112548410101e-07,2.9498370110102414e-09,4.4156151280879563e-07,0.0,-8.552275673087472e-11,-6.56539749583854e-07,0.0
