Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33)
0.0,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8089413483050533e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,-3.13348333654643e-113,9.914761546425434e-66,1.3309690280218361e-51,9.701524163733389e-104,4.162540957649331e-56,3.0366169865196575e-65,3.1224421884793095e-46,-7.264304685991245e-158,2.769200236403308e-46,2.951246637342883e-99,6.486634633829285e-69,2.1341125016108512e-106,-7.770829447229729e-123,9.020725750192852e-62,3.042590347939096e-84,1.8093159797327678e-62,5.78828910410195e-23,-6.787270261628397e-119,1.010154146546152e-82,6.480313205133273e-19,2.8861835354035194e-18,3.189908615075365e-35,5.788289104095577e-23,7.80732457243894e-49,1.33096846070024e-51,1.2638705243274721e-59,5.080198241241864e-38,4.4757381587274027e-54,9.835818704192807e-83
5.065035775254149e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,3.1711665470245613e-111,2.2217947827482027e-64,1.580126613916167e-50,7.72530873522423e-102,6.290431896331523e-55,9.547609619578088e-64,9.887348799389974e-46,1.5245895801536194e-156,7.753767408813429e-46,8.322987718213373e-98,2.0395017769828307e-67,1.2291398082369867e-104,7.441299519447714e-121,1.0709405610633887e-60,8.145410335196954e-75,1.2122015712871014e-61,1.6207209491847398e-22,6.868893843559534e-117,6.145260599537214e-81,1.814487697437314e-18,8.081313899129858e-18,1.92670480353933e-34,1.6207209491808896e-22,9.268855732774302e-48,1.5801257566046227e-50,1.9099612675525802e-58,3.0684397377116304e-37,5.313596342033269e-53,5.664927953591308e-81
1.157722462915234e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,6.640910320936801e-109,4.393342362551173e-63,1.5513777601699791e-49,5.501578405348578e-100,6.766959585860354e-54,2.130019184562936e-62,2.7995204708102825e-45,1.9008896836394072e-154,1.7722928741170356e-45,1.8104316256713727e-96,4.5500162761203773e-66,5.511981597338176e-103,1.5488532746805654e-118,1.0514557934439784e-59,7.330869917227648e-74,7.052111662053093e-61,3.704505026878599e-22,1.4384519810843906e-114,2.7742643842459995e-79,4.147400451285273e-18,1.8471574626582532e-17,9.276254253146283e-34,3.7045050268600625e-22,9.100217522771489e-47,1.551376837982219e-49,2.0546491866933254e-57,1.4773216485554038e-36,5.216920397788007e-52,2.540391465767069e-79
2.4601602336948725e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599996,0.2012865879456902,0.1676987576445248,1.0672316647868766e-106,7.820537387281461e-62,1.3721760921619342e-48,3.607203364908824e-98,6.220001704895997e-53,3.9892901991584364e-61,8.252308727549382e-45,1.970453719447945e-152,3.766135935603093e-45,3.3562351181243877e-95,8.521676926115959e-65,2.0737473475818175e-101,2.480138798625209e-116,9.300007419450015e-59,5.946152409420344e-73,4.148139447146451e-60,7.872073182845404e-22,2.311673292217006e-112,1.0475094449271543e-77,8.813225958981131e-18,3.925209608148787e-17,4.051183941669737e-33,7.872073182764444e-22,8.049039343568257e-46,1.3721752446425598e-48,1.8885765930600735e-56,6.451851766400408e-36,4.614307012069684e-51,9.55758761458195e-78
5.065035775254149e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559999,0.2012865879456902,0.16769875764452477,1.525835502399433e-104,1.3192773953907558e-60,1.153396698118517e-47,2.314329081619819e-96,5.321342413812521e-52,6.890506753632027e-60,2.648275354293309e-44,2.0586629488171718e-150,7.753865238633912e-45,5.768510648098406e-94,1.4719077700712363e-63,7.180743282179889e-100,3.53892548078451e-114,7.817216603561458e-58,4.765075513131732e-72,2.624576670284292e-59,1.620720949709535e-21,3.3050304780190023e-110,3.634296882853488e-76,1.8144876974372602e-17,8.081313899129851e-17,1.6912895481845784e-32,1.6207209496757363e-21,6.765702561559993e-45,1.1533959732714293e-47,1.6157170451385637e-55,2.693521107527263e-35,3.878603076448304e-50,3.309489146427758e-76
1.0274786858372703e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559998,0.20128658794569018,0.16769875764452474,2.0625437681239764e-102,2.1671026516729382e-59,9.45624303722157e-47,1.4789105442537977e-94,4.399788815282217e-51,1.1448680030718026e-58,9.224311639667751e-44,2.2759601033085503e-148,1.572949656493046e-44,9.56088336270353e-93,2.4455967749467274e-62,2.3890882445763125e-98,4.778883922764378e-112,6.409026467983e-57,3.812902045126549e-71,1.8018398915641676e-58,3.2877482134860594e-21,4.4675654782140975e-108,1.2103726008462007e-74,3.6808179005154566e-17,1.6393522481091963e-16,6.909469660590887e-32,3.28774821334798e-21,5.546931730250383e-44,9.456237047746605e-47,1.3359061116297233e-54,1.1003912598635462e-34,3.1799131373168116e-49,1.101087885078178e-74
2.069428902460981e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559996,0.20128658794569015,0.16769875764452466,2.7125221219043734e-100,3.513116135785789e-58,7.657910805608608e-46,9.450754894482439e-93,3.577835199410832e-50,1.8664237958516504e-57,3.4096173511891426e-43,2.6618467367064243e-146,3.1681450098463976e-44,1.5567420078558096e-91,3.9869399822994154e-61,7.79447647421641e-97,6.281652866540503e-110,5.190195799084853e-56,3.0504912837611974e-70,1.318199387577679e-57,6.621802744745248e-21,5.875448743534307e-106,3.950857766160794e-73,7.413478306671462e-17,3.301793964501613e-16,2.792918111396602e-31,6.6218027441871076e-21,4.492049135150596e-43,7.657905941087497e-46,1.08633668625687e-53,4.447957409867397e-34,2.5751761032800706e-48,3.5923050444869926e-73
4.1533293357084026e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559992,0.20128658794569007,0.1676987576445245,3.5191906785272624e-98,5.657885091541478e-57,6.163752854461553e-45,6.042748597725926e-91,2.8856537118340805e-49,3.014279419260882e-56,1.3071905456051004e-42,3.239131124864857e-144,6.358812068929878e-44,2.512587883333891e-90,6.438918728760223e-60,2.5184375275283175e-95,8.147636275568752e-108,4.177521116061724e-55,2.440685783227725e-69,1.0044122658999769e-56,1.3289911822088185e-20,7.622730256874259e-104,1.2768489637443267e-71,1.487879911898192e-16,6.626677397286422e-16,1.1230200902359146e-30,1.3289911819843934e-20,3.615591953194287e-42,6.163748940761042e-45,8.761699289245947e-53,1.788504111739359e-33,2.072725762960718e-47,1.160674302553501e-71
8.321130202203246e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599837,0.20128658794568993,0.16769875764452416,4.535001357666771e-96,9.082254644968996e-56,4.946023500369126e-44,3.8653339760326194e-89,2.3179140020197498e-48,4.84536614226727e-55,5.1148144666060844e-42,4.036218087349425e-142,1.274125159660887e-43,4.0376612966637286e-89,1.0350373825355697e-58,8.098145040594192e-94,1.0498088990865078e-105,3.352197604755798e-54,1.9534640223845894e-68,7.83302324893066e-56,2.6626130036072302e-20,9.8230233096552e-102,4.106154936554535e-70,2.9809440743596616e-16,1.3276444262855936e-15,4.5038128556334375e-30,2.6626130027071848e-20,2.901284856110554e-41,4.946020372274651e-44,7.03787393248247e-52,7.172701416563715e-33,1.6632318887191057e-46,3.732077013893438e-70
