Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241)
0.0,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8599074144351918e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,-3.806232008989525e-113,1.1080251884601324e-65,1.4466666474623786e-51,1.1278219028712844e-103,4.524379640131841e-56,3.393574278974673e-65,3.2206484089194933e-46,-8.594629081745704e-158,2.8472212024389566e-46,3.298168690985974e-99,7.249145348633924e-69,2.4521751983136084e-106,-9.439201357614437e-123,9.804873595066401e-62,3.500582259146661e-84,1.9188020285541396e-62,5.951371409419528e-23,-8.24447509331452e-119,1.1607049409757491e-82,6.662892961887855e-19,2.9675003901854166e-18,3.3721891073671116e-35,5.951371409412791e-23,8.485994660335773e-49,1.446666030826064e-51,1.37373555149767e-59,5.370495283598593e-38,4.8648022460938363e-54,1.1301724006700307e-82,2.3721983845619343e-109,1.7716018066549718e-87
5.207740760418537e-23,0.049886832000000006,0.631014654409785,0.0,0.0,0.123869003856,0.2012865879456902,0.1676987576445248,3.852005781156678e-111,2.4829690266104738e-64,1.7174828436982332e-50,9.021211951311198e-102,6.837242513513658e-55,1.0669940859538763e-63,1.0227726826432674e-45,1.807661586480733e-156,7.972226499249484e-46,9.301363417337727e-98,2.2792472939390447e-67,1.412327739215918e-104,9.038922523669477e-121,1.1640345932068342e-60,8.85346933366807e-75,1.2887080735994047e-61,1.6663839946757295e-22,8.34362320716631e-117,7.061134818493208e-81,1.865610029328596e-18,8.309001092519171e-18,2.0368022208864835e-34,1.6663839946716593e-22,1.0074572861169476e-47,1.717481911865206e-50,2.075989162329843e-58,3.243779151295227e-37,5.775493226553767e-53,6.509214592120286e-81,1.4914388947624796e-107,1.0777518321170921e-85
1.1903407452385227e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599998,0.2012865879456902,0.1676987576445248,8.066692360284684e-109,4.909784240271944e-63,1.6862349280896916e-49,6.452291120102589e-100,7.35519349550685e-54,2.3804051130691425e-62,2.9081528787617376e-45,2.2622779268495163e-154,1.8222265622552173e-45,2.0232497106566267e-96,5.084875332456161e-66,6.333473687153699e-103,1.8813870799523179e-118,1.1428560662426146e-59,7.968123107574694e-74,7.526151024395918e-61,3.808877702296326e-22,1.747282984663709e-114,3.1877337884026197e-79,4.2642514956082e-18,1.8992002497186674e-17,9.806325924774765e-34,3.8088777022767284e-22,9.89127537735765e-47,1.6862339257432171e-49,2.233254410618464e-57,1.561740028472937e-36,5.670413498019422e-52,2.9190050366092433e-79,6.6067499775841965e-106,4.8654869466450165e-84
2.529474083631861e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599996,0.2012865879456902,0.1676987576445248,1.2963628630889127e-106,8.739849537293861e-62,1.491455732770142e-48,4.243781574710859e-98,6.76069001175958e-53,4.4582353327785195e-61,8.614771321722794e-45,2.356570257875552e-152,3.872245798788408e-45,3.750763981022406e-95,9.52340874442696e-65,2.3828135862665356e-101,3.0126166041533126e-116,1.0108432481604514e-58,6.463035905219103e-73,4.4480291259474114e-60,8.093865118149694e-22,2.807982096580127e-112,1.2036276247821929e-77,9.061534428167344e-18,4.035800530652168e-17,4.282680166925806e-33,8.093865118064107e-22,8.74872105766457e-46,1.491454811586387e-48,2.052745564607658e-56,6.820529010195472e-36,5.0154165235748793e-51,1.09820264960536e-77,2.4749477451221167e-104,1.8371152943147473e-82
5.2077407604185365e-22,0.049886832000000006,0.631014654409785,0.0,0.0,0.1238690038559999,0.2012865879456902,0.16769875764452477,1.8534274663865386e-104,1.4743597994194103e-60,1.253658424308684e-47,2.7280075181833684e-96,5.783912643983317e-52,7.700492853711986e-60,2.777144041262759e-44,2.4744740744627074e-150,7.972329919345423e-45,6.446604961131498e-94,1.644932030403483e-63,8.250944192119354e-100,4.298721374108406e-114,8.496746579569977e-58,5.179291587152806e-72,2.827384330514777e-59,1.6663839952305131e-21,4.0146098682155837e-110,4.1759433731987725e-76,1.8656100293285383e-17,8.309001092519163e-17,1.7879346652386585e-32,1.6663839951947826e-21,7.353827201512811e-45,1.2536576364664495e-47,1.7561670575562783e-55,2.8474365993866094e-35,4.215759789523569e-50,3.802727106507054e-76,8.558725536982691e-103,6.373806384144141e-81
1.0564274113991888e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599979,0.20128658794569018,0.16769875764452472,2.5053652667856293e-102,2.421847779703212e-59,1.0278249248809835e-46,1.7451496685229466e-94,4.782250827155919e-51,1.2794484050863537e-58,9.705850743105767e-44,2.7469853634382652e-148,1.6172680750422077e-44,1.068477495837134e-92,2.7330791713940306e-62,2.745152592434539e-98,5.804894896769737e-112,6.966146197792472e-57,4.14434974814494e-71,1.9481169141124968e-58,3.38037896304108e-21,5.4267373857447534e-108,1.3907634969368544e-74,3.784523202352042e-17,1.6855402216253143e-16,7.304296498461602e-32,3.3803789628951096e-21,6.029111843518852e-44,1.0278242738913856e-46,1.4520328995487113e-54,1.1632707604277118e-34,3.456334580836751e-49,1.2651912612505995e-74,2.8462417447853e-101,2.1227436445177063e-79
2.1277340821138594e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599958,0.20128658794569015,0.16769875764452463,3.2948918781263656e-100,3.926086522349712e-58,8.323592749955793e-46,1.1158533072074506e-92,3.888846956246768e-50,2.0858238176360444e-57,3.595275569479181e-43,3.2217781243551345e-146,3.2574112772426727e-44,1.73973861951503e-91,4.455608845673766e-61,8.956149801543198e-97,7.630303488968472e-110,5.641365800598374e-56,3.3156696708185035e-70,1.428602468824151e-57,6.808368902580134e-21,7.136888650274061e-106,4.539683696689361e-73,7.622349548398639e-17,3.394820446372103e-16,2.9525134321471775e-31,6.808368901990101e-21,4.8825310929534105e-43,8.323587462944674e-46,1.1807690642455933e-53,4.70212640472131e-34,2.7990293549365776e-48,4.127693176619463e-73,9.284184315953829e-100,6.928988815041648e-78
4.270347423543201e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599917,0.20128658794569007,0.16769875764452447,4.2747495740314684e-98,6.322975257371886e-57,6.699551597800574e-45,7.136807481333467e-91,3.136495961781831e-49,3.3686110410099474e-56,1.3800453189697858e-42,3.927072383643365e-144,6.537989825584803e-44,2.8079451532840614e-90,7.195820196133893e-60,2.8937817932353295e-95,9.896907521715802e-108,4.540661984197972e-55,2.652871618463378e-69,1.0900405973462988e-56,1.3664348797329918e-20,9.259305873197555e-104,1.4671473303710644e-71,1.5298002240490192e-16,6.813380895865652e-16,1.1871926669007825e-30,1.3664348794957425e-20,3.92988580514651e-42,6.699547344488217e-45,9.52333067076694e-53,1.8907043466994005e-33,2.252902334661148e-47,1.3336582889627356e-71,2.9994802420133174e-98,2.2393294599480032e-76
8.555574106401882e-21,0.049886832000000006,0.631014654409785,0.0,0.0,0.12386900385599833,0.2012865879456899,0.16769875764452413,5.508651532645649e-96,1.014988294598785e-55,5.375968250050254e-44,4.5658529938990254e-89,2.5194041399861642e-48,5.4149438772482325e-55,5.403399503511271e-42,4.8979579105030656e-142,1.3100315498039213e-43,4.5122925034323315e-89,1.1567070831686482e-58,9.305089333954129e-94,1.2751994860164771e-105,3.6435952816463686e-54,2.1233490680359177e-68,8.507179389937244e-56,2.737630864951619e-20,1.1931994754238378e-101,4.718125968895312e-70,3.0649307624666727e-16,1.3650501794852648e-15,4.761173590882679e-30,2.737630864000143e-20,3.153485880612326e-41,5.375964850995181e-44,7.649657745792302e-52,7.582570068966959e-33,1.8078122403436726e-46,4.2882964100754074e-70,9.644282820773821e-97,7.201347987650907e-75
