Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52),C2H3X(241),CHOX(231)
0.0,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.267371937278696e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,-4.758772255583073e-99,6.17839573941156e-63,3.452548150490474e-35,5.213639991131744e-67,2.4755147442212533e-48,1.4748526859181895e-49,1.8972823624123962e-19,-1.2418197429505444e-98,1.8972823624114068e-19,7.18295189051429e-66,1.9993894256576612e-64,1.7735142280865507e-69,4.624286246549797e-91,6.290662219904667e-49,8.931775102667531e-69,1.6799321008167266e-35,1.938326454108071e-18,-8.393919735467725e-101,1.0557758216636013e-70,8.289244884298731e-19,1.1075521204955625e-18,2.3991263986284658e-29,1.9383264540599892e-18,1.5979858734882744e-39,5.550966220937692e-41,8.611185752466179e-48,3.451289283486628e-36,4.746758640731916e-52,1.2324913738768703e-66,4.819985210378678e-70,1.0555136729331895e-71,1.3613921581510922e-86
3.548641424380349e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,4.816001471602577e-97,1.5552525851929342e-61,2.0853423202247834e-34,1.1662704491470525e-65,3.7409979005666616e-47,1.7509451679560632e-48,5.312390614757988e-19,2.397351832711917e-97,5.312390614752012e-19,2.025707370330562e-64,6.286400396926524e-63,3.967280515875129e-68,1.908225069324909e-89,7.468274189061547e-48,3.2781024773939814e-65,1.0146789888917373e-34,5.427314071589119e-18,8.49486540380218e-99,6.422798899754525e-69,2.3209885675948475e-18,3.1011459373875752e-18,1.4490723446597306e-28,5.4273140712987074e-18,1.8971288287983635e-38,6.590107104313583e-40,1.301309440354813e-46,2.0845787278601792e-35,5.635351859809217e-51,2.7570339927871494e-65,2.932232007941328e-68,6.42120428120904e-70,1.0505111524034813e-84
8.111180398583655e-23,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667952,0.2012865879456902,0.1676987576445248,1.0085447466010226e-94,3.226028633614551e-60,1.0040058581552904e-33,2.3043540287295138e-64,4.024394831060431e-46,1.7190884677410643e-47,1.2142607119462286e-18,2.5313503432590928e-95,1.2142607119433509e-18,4.4063560022466203e-63,1.4024613489034703e-61,7.83867828131541e-67,7.548751839460574e-88,7.332395888361056e-47,3.1340674394407034e-64,4.885242549151559e-34,1.2405289306897302e-17,1.778955410750004e-96,2.8995584175061442e-67,5.305116725889607e-18,7.0883335711716e-18,6.976659565533635e-28,1.2405289305499094e-17,1.8626123334964917e-37,6.470206248255674e-39,1.3998849248451925e-45,1.0036349245711646e-34,5.53282187629676e-50,5.447434935151977e-64,1.3237496891006492e-66,2.8988385552638053e-68,1.1448984442237091e-82
1.7236258346990267e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199999,0.20128658794569018,0.1676987576445248,1.620788171757267e-92,5.86566053359405e-59,4.384786329713043e-33,4.1004754209224175e-63,3.699112191663935e-45,1.5205144915121427e-46,2.5803040128923334e-18,2.00082147849216e-93,2.5803040128797655e-18,8.168641414000933e-62,2.6266548962374505e-60,1.394851104665465e-65,2.6940982123826018e-86,6.4854211323062054e-46,3.2485181691408536e-63,2.1335137680129787e-33,2.6361239778898004e-17,2.8588814701027555e-94,1.0948180888116932e-65,1.127337304233837e-17,1.506270883873965e-17,3.0468905245242753e-27,2.6361239772791663e-17,1.6474595147844427e-36,5.722824179512391e-38,1.2867339583621137e-44,4.383137399587021e-34,4.893718297943901e-49,9.693420706818895e-63,4.998226948282239e-65,1.094546286204863e-66,9.365980190363024e-81
3.5486414243803487e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199998,0.20128658794569013,0.1676987576445248,2.3172627209665506e-90,9.99511941577859e-58,1.8305861901208605e-32,6.916052982060878e-62,3.164668359047711e-44,1.2780844005734941e-45,5.312390614805525e-18,1.4181114058595914e-91,5.3123906147530555e-18,1.4039807491153327e-60,4.53689314089785e-59,2.3526208919044814e-64,9.10276450005936e-85,5.4513872473690216e-45,5.0440279883977296e-62,8.906999998311909e-33,5.427314072843676e-17,4.087381417121458e-92,3.798432572068962e-64,2.320988567467287e-17,3.101145937387574e-17,1.2720168149923233e-26,5.4273140702943975e-17,1.3847889877470655e-35,4.81037859211303e-37,1.1008276383803406e-43,1.8298735866714513e-33,4.113465107429444e-48,1.634937520641415e-61,1.7341171175550385e-63,3.797489568263452e-65,6.740764033226351e-79
7.198672603742993e-22,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999964,0.20128658794569004,0.16769875764452477,3.13235329366168e-88,1.6499362652266797e-56,7.478739756740933e-32,1.1359643855455116e-60,2.6166089969130475e-43,1.0478513882704282e-44,1.077656381871583e-17,9.543239651852786e-90,1.0776563818501481e-17,2.3269951276906898e-59,7.538115843732683e-58,3.864188942527384e-63,2.9928000266788068e-83,4.469376640284453e-44,1.2128950893725066e-60,3.6388001274681706e-32,1.1009694264966369e-16,5.5251062076511974e-90,1.2650366588827915e-62,4.7082910937089785e-17,6.290896044414788e-17,5.196603731273062e-26,1.1009694254551737e-16,1.1353336754307069e-34,3.943839071505609e-36,9.101857761086736e-43,7.475630711986082e-33,3.3724672355081173e-47,2.6853912204151065e-60,5.7753340135592865e-62,1.2647226001115413e-63,4.569109444453089e-77
1.449873496246828e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199993,0.20128658794568988,0.16769875764452474,4.11946549604521e-86,2.6812454952262236e-55,3.0231861507011505e-31,1.8414491871769948e-59,2.127782979065228e-42,8.485781578555922e-44,2.170491022687214e-17,6.261668592469312e-88,2.1704910226005716e-17,3.7889083284179955e-58,1.2289031462100966e-56,6.2640234834830295e-62,9.707141416722413e-82,3.6194171055426906e-43,3.604930710763488e-59,1.4708611908537945e-31,2.217445465807151e-16,7.266257107860984e-88,4.129290494994067e-61,9.482896145291522e-17,1.2670396258469203e-16,2.1005503091983048e-25,2.217445461597391e-16,9.194226423931865e-34,3.1938232458065983e-35,7.401485749067979e-42,3.021769489057848e-32,2.7311114292814935e-46,4.353139536500857e-59,1.8851652050867547e-60,4.1282653559965446e-62,3.0085069498070133e-75
2.9098859679918856e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.41289667951999864,0.20128658794568954,0.1676987576445247,5.34454094760332e-84,4.323382217506702e-54,1.2157384993756882e-30,2.96560348011874e-58,1.7161340541348594e-41,6.830110332187916e-43,4.356160304452757e-17,4.0574680549364504e-86,4.3561603041043704e-17,6.115313308404206e-57,1.984681900715673e-55,1.0088038253902046e-60,3.1273276103367253e-80,2.913221810285388e-42,1.1386285250492622e-57,5.9142681569757105e-31,4.450397547972088e-16,9.427147450572789e-86,1.3345154289393747e-59,1.9032106244853253e-16,2.542939668657798e-16,8.446220363275497e-25,4.450397531044827e-16,7.400313249518189e-33,2.5706669893201033e-34,5.969577521571751e-41,1.2150402456286844e-31,2.1982361196111838e-45,7.010611990768752e-58,6.092528145964226e-59,1.334184121753499e-60,1.952847729320784e-73
5.829910911482001e-21,0.16628943999999998,0.631014654409785,0.0,0.0,0.4128966795199973,0.20128658794568885,0.16769875764452455,6.887237988173599e-82,6.944248230703372e-53,4.876686982126569e-30,4.760470699055797e-57,1.3784921952956097e-40,5.480757584005195e-42,8.727498868520965e-17,2.612895836949268e-84,8.727498867123777e-17,9.827144286410034e-56,3.1903183095533865e-54,1.6193604722857281e-59,1.004146728947939e-78,2.337677101171946e-41,3.6431062900512924e-56,2.3718860525568477e-30,8.916301726477588e-16,1.2148285264944181e-83,4.2916022297521596e-58,3.8130526429563304e-16,5.094739754279533e-16,3.3873120964576504e-24,8.916301658591703e-16,5.938285237282096e-32,2.0627986604817867e-33,4.795107641298653e-40,4.872855019939092e-31,1.7639461101091088e-44,1.1253632912276279e-56,1.9592657177371512e-57,4.290536794516821e-59,1.258661867788366e-71
