Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH3OO(20),HX(21),CO2X(22),COX(23),CH4X(24),OX(25),CH2X(26),CH3X(27),CHX(28),CX(29),H2X(30),OHX(31),H2OX(32),CHOX(33),C2H4(52)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.2333177027222546e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,-2.741429525373023e-99,2.817922219779746e-63,3.726369671934197e-35,4.0333725900065226e-67,4.7082194992946175e-48,6.474847214050122e-50,1.9710805444613215e-19,-7.619298901536113e-98,1.9710805444595107e-19,2.407357359833194e-65,9.119072265320787e-65,1.3720248593539684e-69,3.716588239206784e-91,2.761704693497219e-49,5.275134997405537e-68,4.185296031351886e-36,2.013721119342399e-18,-4.835562233394369e-101,1.439280332017328e-70,8.611669851236361e-19,2.655988705404056e-19,4.392097305326213e-29,2.013721119254376e-18,5.155112903353664e-39,1.7907453435350404e-40,1.6377748148348072e-47,8.59836378889866e-37,1.2285815930222349e-52,9.534791303650665e-67,2.846621482763476e-69
6.253289567622314e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996532,0.022821567693054285,2.774398254405543e-97,7.093396048015101e-62,2.250737725484661e-34,9.022493662759383e-66,7.115061974444221e-47,7.686939070765903e-49,5.519025524497704e-19,1.4709172569125302e-96,5.519025524486762e-19,6.789133545885851e-64,2.867182354554663e-63,3.069164904168349e-68,1.5336611122498085e-89,3.2786958133505164e-48,1.0689527801090844e-64,2.527918802929668e-35,5.638419134317116e-18,4.893715229674978e-99,8.755844554865206e-69,2.4112675583300768e-18,7.436768375131357e-19,2.6528267720561635e-28,5.638419133785456e-18,6.120150037685152e-38,2.1259728757197308e-39,2.474980743589494e-46,5.193411731279282e-36,1.458572067934862e-51,2.132894796898637e-65,1.731738843836629e-67
1.4293233297422432e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999987,0.11866996602996531,0.022821567693054285,5.8100164796027034e-95,1.4713686370500642e-60,1.0836439660527957e-33,1.7826929164893953e-64,7.654059038742357e-46,7.547083282272412e-48,1.2614915484594474e-18,1.5531332849346066e-94,1.26149154845418e-18,1.4767848525125714e-62,6.396526125059007e-62,6.064153369034426e-67,6.067015419313057e-88,3.2190429944848124e-47,1.0705927870423551e-63,1.2170840859068203e-34,1.2887815164900128e-17,1.0248192048760496e-96,3.952806752609161e-67,5.511468704678537e-18,1.6998327714585959e-18,1.2772218958475574e-27,1.2887815162340416e-17,6.008799596502428e-37,2.0872927844367268e-38,2.6624631202959325e-45,2.5004041939088665e-35,1.432034706951945e-50,4.214241193243972e-64,7.817896926416126e-66
3.0373120757022664e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199998,0.11866996602996528,0.022821567693054285,9.337023519767764e-93,2.675285911107539e-59,4.7326513597164926e-33,3.1722075429814696e-63,7.035398937502997e-45,6.675311318631663e-47,2.680669540488404e-18,1.2276224215240389e-92,2.6806695404653995e-18,2.737710232525813e-61,1.1979985540352719e-60,1.0790839454850443e-65,2.1652779663806702e-86,2.8472070786007874e-46,1.2855848987878683e-62,5.315325959710374e-34,2.7386607228600473e-17,1.6469421477598602e-94,1.492504625153662e-65,1.1711870997117775e-17,3.6121446393495164e-18,5.577963572170799e-27,2.7386607217421547e-17,5.314715191183614e-36,1.8461868445966798e-37,2.4472597456539985e-44,1.0919922053866918e-34,1.2666184835639906e-49,7.499018802801272e-63,2.951889122742741e-64
6.253289567622313e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999975,0.11866996602996524,0.02282156769305428,1.3349268614645939e-90,4.558702646947034e-58,1.9758668887828635e-32,5.3503941981913765e-62,6.018931909895632e-44,5.61100410866772e-46,5.519025524584728e-18,8.700952967118858e-91,5.519025524488689e-18,4.705424400630672e-60,2.0692445894069124e-59,1.820033652625018e-64,7.316006875781695e-85,2.393249114185724e-45,2.471712760392559e-61,2.2190439557269e-33,5.638419136613843e-17,2.354655429182605e-92,5.1781919555812675e-64,2.4112675580965523e-17,7.436768375131353e-18,2.3286899862498125e-26,5.638419131946861e-17,4.467338346346236e-35,1.551831308548767e-36,2.0936819493929842e-43,4.558852518483929e-34,1.0646691591935034e-48,1.2648197240037446e-61,1.0241474639443783e-62
1.2685244551462407e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199996,0.11866996602996516,0.022821567693054278,1.8044836131634092e-88,7.525241603963365e-57,8.072699262049138e-32,8.788046804583492e-61,4.976569294400754e-43,4.600244642961479e-45,1.119573749293102e-17,5.8553424645667286e-89,1.1195737492538668e-17,7.79889585937045e-59,3.438080861724348e-58,2.9894135521595634e-63,2.4053574642936935e-83,1.9621302301671425e-44,6.757336369671219e-60,9.065518614937738e-33,1.1437935968176344e-16,3.182898823343817e-90,1.7245541718703504e-62,4.8914284744538096e-17,1.508601584669502e-17,9.513458404606355e-26,1.143793594911021e-16,3.662593869320752e-34,1.2722851047280153e-35,1.7310977353335647e-42,1.86244002190782e-33,8.728801083061754e-48,2.0774721487004893e-60,3.410838642459403e-61
2.5549154519142597e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199993,0.11866996602996498,0.02282156769305427,2.3731384952689426e-86,1.2228969518593372e-55,3.263630164976889e-31,1.424582937672673e-59,4.0468634958014036e-42,3.7254046242956735e-44,2.2549161430238176e-17,3.8419043558836667e-87,2.254916142865222e-17,1.2698480158017615e-57,5.604939623531572e-57,4.845977308604636e-62,7.801813132489498e-82,1.588983952030298e-43,2.0965558533513427e-58,3.6644275689903916e-32,2.3036969647520987e-16,4.1859397719769894e-88,5.6292323955545784e-61,9.851750305519159e-17,3.0384510789822325e-17,3.8454919764233604e-25,2.3036969570452614e-16,2.9660634547284882e-33,1.0303295292706752e-34,1.4077021407743864e-41,7.528280479768447e-33,7.068809539850193e-47,3.3676782121804824e-59,1.1133545342555943e-59
5.1276974454502975e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4128966795199987,0.11866996602996462,0.022821567693054257,3.0788791785745007e-84,1.9718638298389403e-54,1.312706343544075e-30,2.2942555369629285e-58,3.263942007968737e-41,2.9985414040777872e-43,4.525600930731078e-17,2.4894968403633967e-85,4.5256009300933725e-17,2.049539811600031e-56,9.051992761086952e-56,7.804326430502842e-61,2.5135184978840257e-80,1.278952555235216e-42,6.698618544881227e-57,1.4734502084799856e-31,4.6235037071088885e-16,5.430784099787457e-86,1.8192708647173638e-59,1.9772393961053182e-16,6.098150067607682e-17,1.5462553962914385e-24,4.623503676120035e-16,2.3873458781706746e-32,8.292989468273699e-34,1.1353665629278897e-40,3.027088577031184e-32,5.68959307264457e-46,5.423562344727175e-58,3.598169422977826e-58
1.0273261432522373e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.41289667951999753,0.11866996602996391,0.022821567693054226,3.967595369260629e-82,3.167222237923524e-53,5.267868303889816e-30,3.6828159545018124e-57,2.6217757069724024e-40,2.4061593473394894e-42,9.066970507128913e-17,1.6031662670867006e-83,9.06697050457143e-17,3.293555438035905e-55,1.4550814946379027e-54,1.2527766603089079e-59,8.070769098476031e-79,1.0262789315729714e-41,2.1494939733076055e-55,5.909194350527116e-31,9.263117217773907e-16,6.998375901104571e-84,5.8505039140994765e-58,3.961368124573455e-16,1.2217548044858536e-16,6.201175603735833e-24,9.263117093494743e-16,1.9156946662711332e-31,6.654603459610733e-33,9.119943415253114e-40,1.2139979948153565e-31,4.5655404155364464e-45,8.706084206062325e-57,1.1571173327028017e-56
