,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.008405656287650512,-1.253483430742135,-0.0212713619875071,-1.2827859894380902,0.03024783783031285,-1.2319168501386477,-1.2617830258855207,-0.0475269441646912,-1.3087102831360231,-0.09404552402483064,-0.09404552402483064,0.0,-1.2945779669789246,0.06959745277498802,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-0.002593386622930978,0.46842033243428616,-0.01605896886198595,0.45489132381064484,0.0073172347581083605,0.4783776354123081,0.47102593458079883,0.014645450561185904,0.4857403690123657,0.03262978705368168,0.03262978705368168,0.0,0.46892338679965045,0.016576009123705028,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.0007191228220682866,0.00612339811545353,0.0017096925973524443,0.007114021423474596,-9.933064268214485e-06,0.005394302829197595,0.005404236430293003,-0.0040654244369875804,0.0013385922881494964,0.00016515568037976837,0.00016515568037976837,0.0,0.004486997177273439,0.4679384579631293,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.044005956021410636,2.821095695551954,0.13700847297675942,2.916679839793414,-0.02444357082888804,2.750746100058105,2.7758681921946864,-0.24873041056830855,2.52023335327509,0.18293470419560712,0.18293470419560712,0.04982561036373474,2.7363513241812227,0.03854854089223858,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.0004885283998574794,0.05592513037147331,-0.002335871648641458,0.054076744963685267,0.0008711097631846671,0.05728553555989587,0.056413934369426814,0.0027598980213141056,0.05917538935780575,0.003961585467479498,0.003961585467479498,0.0,0.056395925339784075,0.00048513095590734857,0.0
5,C + 2 [Pt] <=> C[Pt] + [Pt],8.636709617768344e-12,-3.23917586914325e-10,1.0879142379449475e-11,-3.2167600322592615e-10,6.997628331509285e-12,-3.2556738466055075e-10,-3.3254418739952063e-10,-5.49049343147039e-11,-3.8745245900933204e-10,-2.768719593812396e-11,-2.768719593812396e-11,0.0,-3.519028600287674e-10,1.5459819364202153e-10,0.0
6,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.0005405152816175765,-0.4758162284911179,-0.011006931375906491,-0.4862328999827764,0.007162730317837503,-0.46814959474501366,-0.4752782821612339,0.0030763410261196627,-0.47221656231589465,-0.03381891893114815,-0.03381891893114815,0.0,-0.4798573980860261,0.06713529340421864,0.0
7,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],8.723285771970058e-09,-1.5218433073348421e-06,-1.113682087643128e-08,-1.5417034109888731e-06,2.334026607056373e-08,-1.5072263405814697e-06,-1.5305665894361293e-06,-4.928828696251244e-08,-1.5798548687296053e-06,-1.120368343550298e-07,-1.120368343550298e-07,0.0,-1.5590604219754263e-06,2.1325274830980452e-07,0.0
8,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],2.0389127230059842e-05,-0.0040541123547755565,-3.938241235613199e-05,-0.004113881458954492,6.438077108796757e-05,-0.004010122503356361,-0.004074500651249957,-0.00011508862165262385,-0.0041895845836103255,-0.00029768826086656674,-0.00029768826086656674,0.0,-0.004148315946681252,0.0006957868410594512,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],4.297449006481102e-11,-6.674635223876508e-08,-1.3575659553641917e-09,-6.81468837730236e-08,1.0737786955763956e-09,-6.571554092900344e-08,-6.67893191406881e-08,-2.4078389962835837e-10,-6.703011008446667e-08,-4.7970066174495565e-09,-4.7970066174495565e-09,0.0,-6.76377627951591e-08,1.1672163619972626e-08,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],4.425533683618618e-05,-0.0011872104472971771,6.385814275429917e-05,-0.0011676078827638169,2.982774031557503e-05,-0.0012016378661469536,-0.0012314652391357986,-0.0002502137192678895,-0.0014816758771136998,-0.0001025214628054628,-0.0001025214628054628,0.0,-0.0013104655270619716,2.142282629116857e-06,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-5.8896505968507245e-08,-8.514793318980805e-06,-4.544639531282626e-07,-8.910360723139204e-06,2.3223975014448986e-07,-8.223657082014547e-06,-8.455896808301028e-06,3.3223655370908654e-07,-8.123660273357309e-06,-6.003758107023392e-07,-6.003758107023392e-07,0.0,-8.552528025766845e-06,6.3976906680296845e-06,0.0
12,O=C=O.[Pt] + [Pt] <=> O=C=[Pt] + O[Pt],-4.0182336705464916e-06,0.00043833350428130113,-1.880392815038333e-05,0.00042354774439664223,6.863985720283132e-06,0.00044921577179967017,0.0004423517557293686,2.2701413860708756e-05,0.0004650532700000177,3.111484371160338e-05,3.111484371160338e-05,0.0,0.00044242703766608267,4.332846274108117e-06,0.0
13,[Pt] + O=[Pt] <=> O[Pt] + [Pt],1.8574528433245964e-07,-1.2861379625219214e-05,-3.189190077626391e-07,-1.3366043846788622e-05,5.571764363381123e-07,-1.2489948525120224e-05,-1.3047124880817027e-05,-1.0516928068098823e-06,-1.4098817550523441e-05,-1.0329673196383783e-06,-1.0329673196383783e-06,0.0,-1.3699355523297061e-05,9.72840053131149e-07,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],8.228702831781477e-08,1.7733670491809666e-08,1.3543922814707646e-06,1.2898389313040505e-06,-8.539779726512214e-07,-9.185313224515976e-07,-6.455334744048597e-08,-4.655272663697168e-07,-5.300806064433191e-07,7.826616547788881e-08,7.826616547788881e-08,0.0,4.620205721480482e-07,1.29089491691088e-07,0.0
15,O + [Pt] <=> O.[Pt],1.36243114260808e-09,1.7608533936377604e-08,1.5598255463212766e-08,3.184437853511926e-08,-9.11506303084929e-09,7.131039661855442e-09,1.6246115101926802e-08,-7.714817347940582e-09,8.531303317294333e-09,1.8705379045455603e-09,1.8705379045455603e-09,0.0,2.1239882061460313e-08,7.946347153199908e-09,0.0
16,O.[Pt] + O=[Pt] <=> 2 O[Pt],8.990679702424927e-05,0.0004781207852626764,0.0013314099116234486,0.0017196287195384288,-0.0008238351484575814,-0.00043562470750922646,0.00038821363920886844,-0.0005085375132185729,-0.00012032584821473436,0.00010375886883413661,0.00010375886883413661,0.0,0.0008827030035493033,0.00019611951171816304,0.0
17,[Pt] + O[Pt] <=> O.[Pt] + [Pt],4.032746269516679e-08,4.636073163344811e-09,6.823018254980437e-07,6.466104516988718e-07,-4.321634092475763e-07,-4.6785479669573346e-07,-3.5691383123418674e-08,-2.280883201277971e-07,-2.637796983894414e-07,3.979090637300998e-08,3.979090637300998e-08,0.0,2.32510374647229e-07,4.699785086717455e-08,0.0
18,[H] + [Pt] <=> [Pt],-2.5296020907714848e-11,-4.125127702088252e-11,-2.548739588613234e-11,-4.14304151591083e-11,-2.5143828218729472e-11,-4.11069298707381e-11,-1.5946749454643582e-11,-6.356635853051155e-11,-7.951814338432382e-11,-5.824118600608092e-12,-5.824118600608092e-12,0.0,-1.3992979639761523e-11,-0.0,0.0
19,C + [Pt] <=> C.[Pt],0.00028282458014192787,-0.026932710528574256,-4.944404888560449e-05,-0.027264888729163696,0.0005273731277598482,-0.026688228535955337,-0.027215458136702675,-0.001601783047581962,-0.028816805251690506,-0.0020441584489017,-0.0020441584489017,0.0,-0.027970796571051948,0.008453332558095253,0.0
20,[CH3] + [Pt] <=> C[Pt],-6.460284926343725e-10,-1.2396556073171422e-09,-8.668950606808628e-10,-1.4605113142189962e-09,-4.834601304952639e-10,-1.0770815761021378e-09,-5.936156067137623e-10,1.4864776868451117e-10,-4.4496366102180385e-10,-7.450647059534394e-11,-7.450647059534394e-11,0.0,-1.2459925252758238e-10,1.1285668135867573e-09,0.0
21,[H][H] + [Pt] <=> [H][H].[Pt],7.286367190069207e-06,-0.00012828358443193135,1.215620946140779e-05,-0.00012341374875766915,3.7021803404383333e-06,-0.00013186776642497638,-0.0001355699417338785,-4.119589467882835e-05,-0.00017676578055769772,-1.2051584950620331e-05,-1.2051584950620331e-05,0.0,-0.00014768157254178434,9.8454313638985e-07,0.0
22,[OH] + [Pt] <=> O[Pt],-1.123686879165019e-12,-7.302513075973266e-12,-2.4347089177804775e-12,-8.595239881307421e-12,-1.5877924901317664e-13,-6.3260664582096956e-12,-6.168197793661063e-12,1.5328320040768325e-12,-4.641612056227812e-12,-1.810606818841894e-13,-1.810606818841894e-13,0.0,-8.848501831025669e-12,-3.0919638728404306e-11,0.0
