,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6,0.042206109311924665,0.04217182785570072,6.670024329200139e-07,6.18770522955281e-07,6.743428118715535e-05,3.318631061812537e-05,704.2406719688624,704.2406719688626,20.01,0.0019156300315405345,-4.030390036253648e-06,510.0
1,0.7,0.04764223879568619,0.04759212432128026,8.312420204677037e-07,1.1023675413385486e-06,9.841409626259749e-05,4.8704441306063896e-05,706.0233160303532,706.0233160303532,20.01,0.002894267227321316,-6.2837747823694945e-06,510.0
2,0.8,0.052736575707115416,0.05266482989579056,1.0426796227725618e-06,1.9031952815191984e-06,0.00014059870672340606,6.992294188312655e-05,708.3927457297536,708.3927457297539,20.01,0.004275968782134496,-9.824152591084157e-06,510.0
3,0.9,0.05752037248751414,0.05741814385390663,1.338923976630157e-06,3.2648251654207583e-06,0.00019981218208912403,9.98301618551799e-05,711.6544470324219,711.6544470324245,20.01,0.006278459742899106,-1.5856996026658576e-05,510.0
4,1.0,0.06202118410625546,0.06187309834303243,1.813180261158763e-06,5.7599045480078025e-06,0.00028845162835250654,0.00014480231185680728,716.4649878885509,716.4649878885509,20.01,0.009358264728238098,-2.7767952457911457e-05,510.0
5,1.1,0.0662633991614029,0.06603549867098363,2.795718893871336e-06,1.1277250783711405e-05,0.0004415968394619006,0.0002229523722311409,724.6954421311034,724.6954421311034,51.26375,0.014790538638601941,-5.9856708343238724e-05,510.0
6,1.2,0.07026868199272561,0.06980771184857462,7.697618991852305e-06,3.6878377809023367e-05,0.0008796715141111662,0.0004493703892985873,748.1826792498891,748.1826792498891,70.0,0.030520017766226204,-0.0003325308873259695,510.0
7,1.3,0.0740563427297203,0.026505707074279107,0.04456685209065046,0.08846342884413291,0.006565761094087881,0.0029167424204655508,1123.800103453114,1240.7765278005797,19.19,0.9999996975641597,-0.3641805857213705,70.0
8,1.4,0.07764364861664726,0.03002253201174943,0.04491489952040464,0.08990278703388437,0.005267706568463787,0.0026385224534241675,1072.14071624047,1226.1519295622425,17.96,1.0,-0.335059457228863,70.0
9,1.6,0.08427758988601222,0.03867844954972888,0.0428891066218196,0.0866130054633917,0.004508184324278042,0.0026380741137879433,1035.7531802898666,1201.3306045308198,16.16,1.0,-0.28514704742188246,54.375
10,1.8,0.09027684884714632,0.04698374536388369,0.04052655011342681,0.08225571980817444,0.004247198324499978,0.0026900062845869877,1016.3517481499714,1180.5916425544676,14.94,1.0,-0.24666761149754715,510.0
11,2.0,0.09572834938139432,0.054667169810645753,0.038224558799483124,0.07790492034110462,0.004128032585254472,0.002755772098215887,1002.8733020152737,1162.6707607602182,14.06,1.0,-0.21426226797829767,510.0
12,2.2,0.10070383531597824,0.06173612037417734,0.0360586033804007,0.07377305153943679,0.004067122234026845,0.002824354287984521,992.4473896983891,1146.8483238740682,13.43,1.0,-0.18886876597012223,510.0
13,2.4,0.10526304553491962,0.06824009751048933,0.03404363592252931,0.06991116127513898,0.004033910616001012,0.0028910105752929364,983.884714201207,1132.6288209914069,12.95,1.0,-0.16581529117496474,510.0
14,2.6,0.10945612414928066,0.0741848201671463,0.032216311334145854,0.06639264350670654,0.0040146905373900955,0.00295372336586185,976.6838492837062,1119.9033847881342,12.59,1.0,-0.14838288805591104,510.0
