,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.605060283137762,0.5931612263707368,-0.003943327374804826,-0.015770354277665058,0.907013823584832,0.8950790532851767,-0.011827493372948684,-0.011566500181776341,-0.023392625489644363,-0.0008822469070891213,-0.0008822469070891213,0.0,-0.02335106826437653,-0.03745056644139745,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-0.0004874415483918514,-0.0004524376020773631,-0.0015161040493375515,-0.0014811004630977363,2.2585451004922686e-05,5.758957584956111e-05,3.500411694026651e-05,9.3154874792422e-06,4.43196076803242e-05,1.4039987513438213e-06,1.4039987513438213e-06,0.0,3.95135583162685e-05,8.710813632029147e-05,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.004877084746896793,0.0037491778547135714,0.015755550157735925,0.014627520572576165,-0.0005166289992450681,-0.0016444750998102402,-0.001127851885890642,-9.466068650683588e-05,-0.0012225115377802452,-4.0352430716145986e-05,-4.0352430714185044e-05,0.0,-0.001172258526315121,-0.002117049993983816,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],-2.2384250704506896,-6.943907522265025,-0.3839766169043326,-5.178717805213504,-3.157889695069743,-7.819116265579725,-4.81322283852862,0.036080582019227585,-4.778878895323418,-0.16152658967029726,-0.16152658967029726,0.0,-4.778225790428685,-9.35495922406561,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.30358872057148606,-0.2723460499547646,-0.9514140188510447,-0.9203743624868037,0.017613221473464474,0.04895654974022905,0.03133780866911796,0.005820680959787118,0.03716031370276621,0.0011971165429047882,0.0011971165429047882,0.0,0.034139489402637536,0.06430408975758505,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],1.159199837146884,3.750527851815217,0.5368156801227459,3.112200493336555,1.4677876623909258,4.067020566360753,2.5616335625825783,-0.014601789938204348,2.5466577282925758,0.08607163791479036,0.08607163791479036,0.0,2.5474807885373263,5.324727034274838,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],8.415018831097948e-10,1.6220974246823494e-09,7.410840132927688e-10,1.5204203234646334e-09,8.912943771081567e-10,1.6725120190755098e-09,7.563150849139412e-10,5.54342162646365e-11,8.117464443372329e-10,2.992845163648116e-11,2.992845163648116e-11,0.0,7.843409056832002e-10,3.4004691117598023e-09,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],5.484090449450668e-07,1.0721141133015072e-06,2.0482717362467767e-07,7.285311836967491e-07,7.187623282819437e-07,1.2424679161359387e-06,5.237042142986116e-07,-1.1502329050512755e-08,5.122001579357354e-07,1.72740212213422e-08,1.72740212213422e-08,0.0,5.126605026203083e-07,1.2725676025060246e-06,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],-0.0015801702087551047,-0.005046191557922742,-0.0007226276164376891,-0.004188678688684751,-0.0020053532739582017,-0.005471359885958438,-0.0034660761190688535,2.1010717394659947e-05,-0.003445066128375942,-0.00011646244257246217,-0.00011646244257050123,0.0,-0.003446543164644539,-0.007089001573939517,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],3.3436775963294216e-07,2.4018237416854026e-06,4.3545907400354604e-07,2.502915059525221e-06,2.842451019746248e-07,2.3517010824854754e-06,2.067424638842762e-06,-2.2969718619674631e-10,2.0672262760354093e-06,6.995534500189509e-08,6.995534500189509e-08,0.0,2.067823265941904e-06,4.426309495120384e-06,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],0.003651228361277368,0.0035738359314759177,-3.1375537430683754e-05,-0.00010876511727986717,0.005477121124636467,0.00539972728178347,-7.738960412884355e-05,-6.980375497916279e-05,-0.00014719330508858268,-5.5290144121635825e-06,-5.5290144121635825e-06,0.0,-0.00014696915330769919,-0.00023918540915858507,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],3.537879995867518e-05,0.00010257641703690428,2.4045483294531346e-05,9.124309365292636e-05,4.099803608815626e-05,0.00010819565649470699,6.719758740139e-05,-6.416472755747686e-07,6.655595981336017e-05,2.250299486938282e-06,2.250299486938282e-06,0.0,6.661836959139466e-05,0.0001595527639409266,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],-0.00024873203022020084,-0.0002205552256247369,-0.0007899096073232902,-0.0007617329552138664,1.9592299224838814e-05,4.776917942513198e-05,2.8176843998035146e-05,4.756102787779816e-06,3.293295399989977e-05,1.0638281039107803e-06,1.0638281039107803e-06,0.0,3.0425082095914493e-05,5.850130350130833e-05,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],-0.0002462906286974377,-0.00048127035628286986,-2.792320661489509e-05,-0.0002629034006111247,-0.00035456064162062986,-0.0005895400790402146,-0.0002349802705614215,5.420981525749807e-06,-0.00022955930242429261,-7.735720932817872e-06,-7.735720932817872e-06,0.0,-0.00022956896098049194,-0.0004374893822526186,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.0012652861392461723,0.006944311149248186,0.000970190298088882,0.00664919854973564,0.0014115992849727118,0.007090632604024805,0.005678953154996768,-1.9316725801551685e-05,0.005659635332205612,0.0001914882653844083,0.0001914882653844083,0.0,0.005660890402268507,0.011221990902374454,0.0
