,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.06740084709358221,-0.5216631311613739,-0.5918658322197609,-1.0437440627947225,0.03643681008025757,-0.41829748744180945,-0.4545686672001009,0.07472521965523476,-0.38018312497991863,-0.05328676902493391,-0.05328676902493391,0.0,-0.4358158638811522,-2.131129803096939,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],3.314427327807253e-09,2.910224946540078e-08,1.7067137448794336e-08,4.2854967607770136e-08,5.915683035796973e-10,2.637939635653886e-08,2.5787824356839098e-08,-4.275724791356941e-09,2.1512103642567506e-08,2.7840628124291796e-09,2.7840628124291796e-09,0.0,2.3289353307514426e-08,8.125657305388461e-08,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.0016702963377024063,0.009273642874422021,0.010168053419079854,0.017772046058937223,-1.2155706934316405e-05,0.0075910629092634675,0.007603219540428062,-0.0018512747719249777,0.005751804012021529,0.0007803348419895497,0.0007803348419895497,0.0,0.006759382597517879,0.022293114212692495,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.7579015133294406,5.691616954692684,4.452029965591861,9.566632248717053,0.026509228504474628,4.924411285953035,4.896604005503779,-0.8398231125300786,4.015658080806404,0.5331596122330334,0.5331596122330334,0.0,4.480949963563936,6.085283113453406,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-5.041806253581193e-05,-0.00022498996802393335,-0.0002619732218712499,-0.00043654475803887736,-8.532726568486772e-06,-0.00018310470517122058,-0.00017457199350222048,5.582539357438133e-05,-0.00011874669738483878,-1.5805401294833845e-05,-1.5805401294833845e-05,0.0,-0.000145385702390289,-5.2356671735154424e-05,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.14510673480676461,-1.0882495734182904,-0.8510778214662467,-1.7875526686266026,-0.005333087851951825,-0.9497961072762656,-0.9445133911532343,0.16108325379473173,-0.7849515902615049,-0.10413970868922927,-0.10413970868922927,0.0,-0.8689943100987626,-2.8417029751383795,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-3.12969066159615e-08,-2.49409802017365e-07,-1.8518382757207547e-07,-4.032967197837298e-07,-8.291833661585144e-10,-2.1894208326802673e-07,-2.181128904099682e-07,3.496718515731999e-08,-1.831457084227158e-07,-2.42591256267999e-08,-2.42591256267999e-08,0.0,-2.012353923582994e-07,-1.1441003326237882e-06,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],-0.0025017832616575,-0.022213872424135146,-0.013598572184950291,-0.03330847388375582,-0.0003047546770449887,-0.020017276930591205,-0.019712582328555505,0.0027720690083462922,-0.016941059766591157,-0.002219566642051932,-0.002219566642051932,0.0,-0.018312474494364447,0.046662460487053255,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],0.22355391820952267,1.3476409118203092,1.045702461739366,2.1790105061757123,0.06077855468647214,1.1830398929312065,1.1215796583387347,-0.24771344445340512,0.8710879102813734,0.11281507953007046,0.11281507953007046,0.0,0.9807131843922939,0.7813034211084495,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],2.595167824730663e-07,1.8232722597957818e-06,1.190432944986329e-06,2.75418844516732e-06,7.520676288804836e-08,1.6389622325192675e-06,1.563755479941139e-06,-2.871648539983409e-07,1.2765906161092065e-06,1.649190725754505e-07,1.649190725754505e-07,0.0,1.4008973335329067e-06,4.862853453916618e-06,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-0.31957020885925164,-2.410409390771786,-1.8030303169881476,-3.862753295595988,-0.025863237931754924,-2.1228630478040755,-2.0975423022286708,0.3545025555477941,-1.7504755877459737,-0.23113517668774583,-0.23113517668774583,0.0,-1.9275102409318394,-0.09587663752741493,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-1.1296350213036562e-08,-2.0711968450365488e-07,-3.145331700693084e-08,-2.2727664099334346e-07,-7.305510809627198e-09,-2.0312884327141893e-07,-1.9582332955563823e-07,1.4374307629513008e-08,-1.8144901520911084e-07,-2.3070279737010204e-08,-2.3070279737010204e-08,0.0,-1.8450552418390035e-07,2.827828204818039e-06,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],-8.32053645469228e-05,-0.000404620279273407,-0.00041409465996332476,-0.0007355085111649243,-1.7693328107821557e-05,-0.00033910845340310366,-0.00032141518216324507,9.215601877643787e-05,-0.00022925945958919845,-3.0111662381155774e-05,-3.0111662381155774e-05,0.0,-0.0002717006981539454,-0.0011162945841433354,0.0
