,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],2.464160637360463e-20,2.257457763266842e-18,4.796729281309404e-19,2.8670330853396186e-18,1.0010434549650063e-20,1.809869424482332e-18,2.78311842803692e-18,2.541473909728306e-19,1.0433275085060115e-18,1.7809445675911305e-20,1.7809445675911305e-20,0.0,1.6923880604829095e-18,1.5556739608598042e-16,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],4.522111377777717e-20,1.3611771719258891e-18,5.332225844794359e-19,2.92703591488002e-18,4.340321779715499e-21,9.77251774485265e-19,9.217943322952231e-19,3.485479718736155e-20,7.021304731152134e-19,1.383432513785255e-20,1.383432513785255e-20,0.0,9.11761980912966e-19,8.891580664659888e-18,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],9.239388470082108e-20,2.404669347819975e-19,5.4510326248205e-19,1.3318037989661708e-18,4.2000244923692734e-21,1.9122062281508523e-19,5.270438476708149e-19,6.028123281146989e-20,1.0842125630277543e-19,2.543319413570401e-21,2.543319413570401e-21,0.0,1.405686218325418e-19,3.3740051654037214e-18,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],7.852516542141903e-20,1.0491284342915049e-18,1.0387640464411053e-18,2.2300233374127624e-18,5.2411088791501066e-21,1.1649653837379549e-18,1.6072540856032841e-18,7.333603477897164e-20,4.716132334787345e-19,3.9639534342407654e-22,3.9639534342407654e-22,0.0,2.2875090579145702e-20,7.948745308579273e-19,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],2.71661406852593e-20,1.7317201777955588e-18,3.374382833931527e-19,2.6135596792794677e-18,2.739334681691558e-21,1.6301044742207457e-18,1.1453082104270298e-18,1.0884662642875966e-19,6.466714823563295e-19,1.0070076972873758e-20,1.0070076972873758e-20,0.0,7.317414268950395e-19,1.8886904835445898e-18,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],2.5208007794815052e-20,8.233011172940322e-19,1.12352934226593e-19,9.876564495055117e-19,6.817294808392227e-21,6.206836273840522e-19,6.716838248597589e-19,7.260373960335928e-20,3.61100705775405e-19,6.986919676313131e-21,6.986919676313131e-21,0.0,4.575731868618258e-19,5.683149793451493e-18,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],7.129477548141389e-20,2.947478388071973e-18,1.971377052528993e-18,1.107946399571974e-17,1.2519825666373005e-20,2.3964830100944426e-18,2.1762009876852957e-18,9.648674338000605e-20,1.754448732264911e-18,3.0837355358445714e-20,3.0837355358445714e-20,0.0,4.536297217597958e-18,1.9680468538399316e-18,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],4.133783983429106e-21,8.430365082148836e-19,2.243710346059438e-19,1.5172923631302608e-18,1.112080322366072e-20,4.1085836237035122e-19,8.090381846265528e-19,9.307241195791163e-20,2.9047445871271205e-19,3.520835695040325e-21,3.527932058060639e-21,0.0,2.5614824695587154e-19,2.682814785876996e-18,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],2.510271942278794e-20,6.685872553306978e-20,5.824288364414098e-19,7.393126635300154e-19,2.2651436990707274e-20,5.445206441122756e-20,2.4845519069186756e-19,1.2162116999553173e-19,2.5035167629653665e-20,3.8213144374496507e-22,3.8213144374496507e-22,0.0,4.5208045135030765e-20,7.823080044200172e-18,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],1.2762571713544195e-20,3.633043970218991e-18,2.9061977186367674e-19,2.276892251128633e-18,3.499899779070127e-21,2.7257456607002684e-18,2.7709741058021252e-18,1.8813523535993846e-19,1.6979023642232936e-18,3.012230605128594e-20,3.266865962620143e-20,0.0,2.0142604781230676e-18,1.3542679181782925e-18,0.0
