,C/O ratio,SynGasSelec,SynGasYield,COSelec,COYield,H2Selec,H2Yield,CH4Conv,FullOxSelec,FullOxYield,ExitT,MaxT,DistToMaxT,O2Conv
0,0.6,1.6184222084360151,1.6184221775556689,0.9041369092194971,0.9041368919680897,0.7142852992165181,0.7142852855875792,0.9999999809194745,0.3812435749866738,0.3812435677123461,1823.52036099971,1847.358734032638,10.5,0.999999994218788
1,0.7,1.7152724212671646,1.7152718027440033,0.8591731361245288,0.8591728263087365,0.8560992851426358,0.8560989764352668,0.999999639402375,0.28469891138353526,0.284698808721784,1561.5833869051164,1606.6230678387908,10.15,0.9999999999717496
2,0.8,1.8227539196883917,1.8178647881460384,0.899267214498007,0.8968551304224133,0.9234867051903848,0.9210096577236252,0.9973177226560626,0.17704720021722625,0.17657231052327604,1320.5458444861795,1497.8170231088727,10.15,0.9999999999999946
3,0.9,1.8493069634813222,1.689065374785077,0.918497421266861,0.8389100466970184,0.9308095422144612,0.8501553280880586,0.9133504648711265,0.1490121914598812,0.1361003543413478,1240.2538780447542,1440.1893466576973,10.16,0.9999999999999998
4,1.0,1.8447900510065507,1.5185167880150716,0.9127415063267531,0.7513122155657254,0.9320485446797976,0.767204572449346,0.8231379972948908,0.15106058685622092,0.1243437089350206,1212.6253942822832,1403.4885546765074,10.17,1.0
5,1.1,1.8353921520064609,1.368552566052412,0.904173314467152,0.67419309182367,0.9312188375393089,0.694359474228742,0.7456458635045937,0.15751274269609267,0.1174487250406049,1195.0645568801056,1376.664143922032,10.17,1.0
6,1.2,1.8241045164388172,1.2400252535403689,0.8946966755578032,0.6082143111603343,0.9294078408810139,0.6318109423800343,0.6797994535758614,0.16557725530180026,0.1125593276787547,1181.8120332930691,1355.226765267637,10.17,1.0
7,1.3,1.811848922427623,1.1297439366120334,0.8847952730072991,0.5516972648490316,0.9270536494203241,0.5780466717630018,0.6235309813239479,0.17443651357837792,0.10876657049025415,1170.9636190712213,1337.193297412575,10.18,1.0
8,1.4,1.7990273086557131,1.0345078129590515,0.8746523955649893,0.5029577552724599,0.9243749130907237,0.5315500576865916,0.575037303759478,0.18375120749691598,0.10566379892157496,1161.6557578271543,1321.4613061957918,10.18,1.0
9,1.6,1.7724413891897228,0.8790224044277628,0.853949941500394,0.4235068845812621,0.9184914476893288,0.4555155198465008,0.49593877111480156,0.20314277734408262,0.10074637935687208,1145.9919002363044,1294.6586883377042,10.18,1.0
10,1.8,1.745219843513007,0.7580104538454635,0.8329284053120766,0.3617701465395238,0.9122914382009305,0.39624030730593973,0.4343352252514163,0.22308236267853968,0.09689252824360169,1132.8618984364612,1272.0612889179542,10.18,1.0
11,2.0,1.717747083576291,0.6615195644734138,0.811737740347453,0.31260736903322534,0.9060093432288377,0.34891219544018837,0.3851088270201877,0.24329782827301677,0.09369614126278056,1121.3900639584867,1252.3322085850655,10.19,1.0
12,2.2,1.6902314698916843,0.5830185442571938,0.7904740512537377,0.27266148976895693,0.8997574186379466,0.3103570544882368,0.3449341434250751,0.26364971660412684,0.09094178916110829,1111.1066616584435,1234.7335999497263,10.19,1.0
13,2.4,1.6628008426762628,0.5180753132990676,0.7692123446580609,0.23966185018936917,0.8935884980182018,0.27841346310969844,0.3115678679024664,0.2840544454741417,0.08850223794459572,1101.7281263499174,1218.7531112748375,10.19,1.0
14,2.6,1.6355442395617643,0.46358785663569463,0.7480210701465312,0.21202329856909596,0.8875231694152331,0.25156455806659866,0.28344562343352486,0.30445300445021367,0.08629587165260054,1093.0690809016203,1204.0660609193774,10.19,1.0
