,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.10233307882291419,0.12444944438081428,-0.0017968448179992607,0.02029651452830591,0.32662392267671375,0.34878984250714445,0.022093756336817007,-0.01579405461131167,0.0062962122255726055,2.2237589538745886e-07,2.2237589538745886e-07,0.0,0.0071040692295413045,0.024366316536359237,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-0.012591035816192274,-0.01109813891646817,-0.018812752161923386,-0.01731994815767874,0.0008102417475484701,0.002303338739748837,0.0014930848945800743,0.0019499570805558792,0.003443071089663157,2.099333409441061e-07,2.099333409441061e-07,0.0,0.0023924331127875282,0.0007366466165159549,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.07136266405827262,0.060254371817140384,0.1067126873330074,0.09560047110827335,-0.004779584714410996,-0.015879424883650694,-0.011100370720859416,-0.011077747761138254,-0.022176888810922595,-1.387097245141292e-06,-1.387097245141292e-06,0.0,-0.01620891239557931,0.010492126946840508,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.4004766316707346,-1.2125026140826587,1.002411286525866,-0.6202383127771813,-0.8960616443763362,-2.4882114140082066,-1.6065454068218958,-0.06307205328199701,-1.6686041789288997,-0.00012087478267489947,-0.00012087478267489947,0.0,-1.6130641759922124,-1.5833669589451171,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.6123820525084376,-0.5396569041422816,-0.9149987373085,-0.8424950234001933,0.03943972191352402,0.11264182944454867,0.07317324820540969,0.09484047554001958,0.16808312160200378,1.0255083109222784e-05,1.0255083109222784e-05,0.0,0.11694441383919264,0.03158423241697275,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.036286367729538783,0.7505413631627701,-0.290463607351785,0.494363460565639,0.5111991731213262,1.30233623577164,0.7871133457353867,0.016002807506227235,0.8032421134751909,5.856091279105048e-05,5.856091279105048e-05,0.0,0.7865374150201673,0.7661430052076642,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],4.326439436215289e-08,-9.419717378044317e-11,4.331413860949448e-08,-4.444022280450724e-11,4.31572476475198e-08,-2.0135013004896898e-10,-4.3358593875221956e-08,4.3309265685822264e-08,-4.9329410616467474e-11,-8.444680362191866e-13,-8.444680362191866e-13,0.0,-3.044838624184266e-10,-0.0,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],9.518113379923354e-08,-7.608525247315392e-08,9.432724880557613e-08,-7.69391067110586e-08,9.702036097894373e-08,-7.424600705432876e-08,-1.712663796472692e-07,3.412681371622306e-08,-1.3713955863479847e-07,-9.142990469065424e-12,-9.142990469065424e-12,0.0,-1.3396274087364027e-07,4.069870809480414e-06,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],-1.4623941902470211e-05,-0.001873884700214151,0.0006985331467887047,-0.0011607408709596186,-0.0015507299873914165,-0.0034099621854893247,-0.0018592610302015046,-1.0173926042403342e-05,-0.0018694347670821254,-1.3612045234896776e-07,-1.3612045234896776e-07,0.0,-0.0018350212610730048,-0.0017683588667192398,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-1.1889639673299088e-06,2.2908034766558246e-08,-4.941177894452327e-07,7.177542346330845e-07,-2.6856292427514022e-06,-1.4737572586170156e-06,1.2118720198033896e-06,2.3650500044589428e-07,1.448377025054361e-06,1.0932613115053008e-10,1.0932613115053008e-10,0.0,1.404477242169939e-06,2.034935404740207e-06,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],0.1828081232057201,0.22272017074902245,-0.003920698321194072,0.0359169579194541,0.5850130177038662,0.6250853005327828,0.039839218216189715,-0.028211972149672967,0.011616006637376745,4.2165576862179215e-07,4.2165576862179215e-07,0.0,0.01302216289552133,0.04254235957149877,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-2.384569315078364e-07,1.8774412722600273e-06,-7.637766371829169e-07,1.352121568675197e-06,8.930564145703073e-07,3.008954651792969e-06,2.1158982111259825e-06,1.0369865094710389e-07,2.219596877497176e-06,1.6291737191059382e-10,1.6291737191059382e-10,0.0,2.1808520697959054e-06,-0.0,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],-2.1297753231003435e-05,-1.8789460496768934e-05,-3.1883895157552175e-05,-2.9375602670845208e-05,1.504286961559357e-06,4.012580266913349e-06,2.5082932732887775e-06,3.3534772081310255e-06,5.861770569742689e-06,3.582330848261353e-10,3.592561903315547e-10,-0.04999999999999005,4.080078005523224e-06,1.0174677023701035e-05,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],5.181070590112272e-08,-2.1961482418284184e-10,5.198383520702032e-08,-4.646023293198484e-11,5.14377768730427e-08,-5.925392372174317e-10,-5.203031265026635e-08,5.2000618850760826e-08,-2.9680552942345134e-11,-1.7863746920021252e-13,-1.7863746920021252e-13,0.0,2.13119142864014e-09,8.139741618960829e-06,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-0.0010354327786322147,0.0025914805940672986,-0.0014011942182016051,0.002225705888523444,-0.00024760024156445486,0.003379341705439246,0.0036269509273434,0.0001647472633503255,0.0037917041660013007,2.784757258877313e-07,2.784757258877313e-07,0.0,0.0037095825305706372,0.0035936959247712054,0.0
15,O + [Pt] <=> O.[Pt],4.389113668615075e-08,5.0394898654231066e-08,3.6428254933659075e-08,4.293204009748508e-08,5.996579112857556e-08,6.646955792695025e-08,6.503764706598939e-09,6.808361898385366e-08,7.458739535725826e-08,6.674545440117032e-12,6.674545440117032e-12,0.0,7.733299368395718e-08,-4.069870809480414e-06,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],-3.2301801452538826e-07,9.040294965838486e-07,-4.478473611761147e-07,7.792001774543709e-07,-5.4141643422341266e-08,1.172905884321646e-06,1.2270475172134239e-06,9.428567053465701e-08,1.3213331987243573e-06,9.828308759997148e-11,9.828308759997148e-11,0.0,1.2976115307253348e-06,1.4244547833181449e-05,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.07791065786592008,0.1879907799835357,-0.10577033981874877,0.16005696097515243,-0.017902243798061573,0.24815888170093767,0.2661087649388561,0.012404483593168062,0.27854625795011234,2.044946423202514e-05,2.044946423202514e-05,0.0,0.272333219094371,0.25265961478794885,0.0
18,[H] + [Pt] <=> [Pt],6.951367304377395e-08,1.0979575966127889e-08,5.953930138110098e-08,1.0052197970290482e-09,9.099797271295657e-08,3.246388021999539e-08,-5.853409128525635e-08,5.887490511676917e-08,3.4081233808768826e-10,1.7538951521475413e-12,1.7538951521475413e-12,0.0,1.3700704483516836e-08,4.069870809480414e-06,0.0
