,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],0.08928956376138257,0.10871606270917845,-0.0014147597304059803,0.017994134262655007,0.315291763195257,0.3347621272465945,0.019409168566515075,-0.014269066342071646,0.005137332715025457,1.4356363652034722e-07,1.4356329856191797e-07,0.0,0.0059303039552817734,0.021503936172130034,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],-0.01169985127698419,-0.01026286615764171,-0.01671537335542874,-0.015278460299901155,0.00079700639639176,0.002234171088774801,0.0014371532904954353,0.0018757115775227787,0.003312891807925307,1.7593315255435904e-07,1.7593322571135218e-07,0.0,0.0022996460771087033,0.0007843412189203337,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],0.08769401302967321,0.0742466289893981,0.12535694285893764,0.11190449856633282,-0.006148316099307186,-0.019583091858294658,-0.013435601851579477,-0.014084897497967635,-0.027518606925816525,-1.4923296991913057e-06,-1.4923299335102126e-06,0.0,-0.019911861903399674,0.011278114192261011,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.4242822918374968,-1.2079258521683893,0.9652432463541772,-0.6757572022212796,-0.9235957455273979,-2.533896662878828,-1.6253122320467794,-0.06977296930846906,-1.6939511726157206,-0.00010696795662984028,-0.00010696795664840311,0.0,-1.6360194772044914,-1.6094703139309363,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-0.6288642777177262,-0.5515585027106245,-0.8984603395797391,-0.8213642968089047,0.04287109931800018,0.12069945084726438,0.0777949999733745,0.10082402317172727,0.1786974591841403,9.495479694554259e-06,9.495479844580223e-06,0.0,0.12419166376980845,0.037574360202403005,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.05153899200036431,0.7773318630009273,-0.2925603519220904,0.5343117171236041,0.5489986158655423,1.3828497188148707,0.8292982669711582,0.01884026032316317,0.8482947692012086,5.3921373558485395e-05,5.39213735816318e-05,0.0,0.8300658383059966,0.8110183786773504,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],7.659488564608839e-09,-5.3059655488195597e-11,7.714307478662103e-09,-1.2589819291627232e-11,7.52289795082598e-09,-1.6656838982868455e-10,-7.75751008355933e-09,7.686421888455474e-09,2.236487206813921e-11,2.679587542367875e-13,1.6217038399884997e-26,0.0,-1.7527971694954515e-09,7.675455734213615e-14,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],8.154034575087988e-08,-7.765010402803836e-08,7.730668231478582e-08,-8.188257291304671e-08,9.208910074855878e-08,-6.70956894823172e-08,-1.5919823046111572e-07,1.7783023455358092e-08,-1.4137602378106895e-07,-9.197957237908341e-12,-9.117364279258579e-12,0.0,-1.3852079172165022e-07,-3.238794383787732e-06,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],3.658191774342733e-05,-0.0020215485232955646,0.000740810707248283,-0.0013173342038479406,-0.0017181002099268916,-0.00377619453685177,-0.002058129722406288,-1.9519379843811207e-05,-0.0020776486268596892,-1.3193060144332474e-07,-1.3193065128309238e-07,0.0,-0.002037607049580542,-0.0019776803413741268,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-1.288604652641019e-06,-5.870109301040192e-08,-4.969637315777922e-07,7.329436071254679e-07,-3.261086039711456e-06,-2.031187228015134e-06,1.229907792578696e-06,2.3138088977354277e-07,1.4613133221852742e-06,9.542363103402608e-11,9.539099651908002e-11,0.0,1.4133343792973282e-06,-5.529648475348675e-07,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],0.16878576106959756,0.20587664034632472,-0.0032871377572933143,0.03374002568263923,0.5975288694547333,0.6347785054273094,0.03702838059351853,-0.026971162209186144,0.010047231559973781,2.9074428702488684e-07,2.9074417510860707e-07,0.0,0.011511974744532654,0.039740007751448585,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-3.2068283709464657e-07,1.8768440344685448e-06,-7.964202970018128e-07,1.4010905956073926e-06,8.646819558587319e-07,3.0622664102893035e-06,2.1974925710085144e-06,4.9339647635790686e-08,2.2469936088635627e-06,1.4307765481971806e-10,1.4307493779531263e-10,0.0,2.1972060554607516e-06,-7.899490360420935e-08,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],-2.1164059020060584e-05,-1.855303950326315e-05,-3.0278574580221086e-05,-2.7667532981512617e-05,1.5460002524226902e-06,4.156888794849671e-06,2.611087632617681e-06,3.4110091392487997e-06,6.021827213978542e-06,3.198160811476234e-10,3.1976991336226123e-10,0.0,4.182533014490912e-06,3.9497501224551363e-07,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],1.3134034911826828e-08,-2.346455314660966e-10,1.3329472485327442e-08,-4.235592670818957e-11,1.264706866695132e-08,-7.364508261972454e-10,-1.3345963111980114e-08,1.340155551677457e-08,-3.5172907632418815e-11,7.354365808922979e-13,4.796577700299264e-13,0.0,-2.688430011154435e-09,-6.537515519067122e-07,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-0.0009949219631582556,0.002547056429077003,-0.0013087624418519164,0.0022332048423924318,-0.00021294558402270967,0.0033290605188931203,0.0035420136286902254,0.00016405224176462693,0.003706071739472032,2.3718126540396583e-07,2.3718126194027812e-07,0.0,0.0036231165080404986,0.003515712716075494,0.0
15,O + [Pt] <=> O.[Pt],-3.768475108244142e-09,5.5176564016647677e-08,-7.531111953300738e-09,4.803396012174209e-08,1.4024006609062425e-08,7.289592595665518e-08,5.8940488812845546e-08,2.2247283781972563e-08,8.117888045405303e-08,4.88597728467278e-12,4.620838517325636e-12,0.0,7.525077039338693e-08,-1.8795358228451526e-06,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],-3.3447071609746237e-07,8.97629218587553e-07,-4.4249658104379556e-07,7.896145763469551e-07,-6.530953967855181e-08,1.1667667249696494e-06,1.2321001424161453e-06,7.261873312329022e-08,1.3046585546703935e-06,8.352081170458694e-11,8.33697575920356e-11,0.0,1.2750406247098202e-06,1.6588948009492098e-06,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.08348556633720075,0.20625640865590997,-0.11010605101910122,0.17955872879618878,-0.017156996137898745,0.2727773211174436,0.2899840697987481,0.013775185061453024,0.30379920075433653,1.943503058255684e-05,1.943503056162952e-05,0.0,0.296802627878722,0.2761501990921221,0.0
18,[H] + [Pt] <=> [Pt],2.9067948011141252e-08,1.0973203389329251e-08,1.910785285424568e-08,1.0011933858145084e-09,5.388487881618072e-08,3.5805272045457693e-08,-1.8129005906507625e-08,1.834055347347386e-08,3.149029987223157e-10,6.109571596078007e-13,3.6539830123199613e-13,0.0,2.956152651697013e-09,2.5278396298251404e-06,0.0
19,C + [Pt] <=> C.[Pt],-2.3006170272603752e-05,0.00013337599729008244,-5.691274611743195e-05,9.946937888909747e-05,6.147669031569009e-05,0.00021785897071696585,0.00015638219009497524,3.0703422789656475e-06,0.00015945254380398478,1.0161475318430198e-08,1.0161693074454864e-08,0.0,0.00015606879670575436,0.000154514193240952,0.0
20,[CH3] + [Pt] <=> C[Pt],-1.7312659635486034e-05,-2.3903605070921945e-06,-1.8003417108541927e-05,-3.081109656585731e-06,-1.5591543137072942e-05,-6.692037442408667e-07,1.4922307488243535e-05,-1.5893594410615416e-05,-9.712305697911342e-07,-1.8808500557668628e-10,-1.8802825176646548e-10,0.0,9.173309417882638e-06,9.64283628485655e-06,0.0
21,[H][H] + [Pt] <=> [H][H].[Pt],1.749819386813529e-06,2.112931669010519e-06,-2.0385401356508444e-08,3.4270602153917114e-07,6.160526172128119e-06,6.523664350723265e-06,3.6308674656543336e-07,-2.6203946250004885e-07,1.0114854431756658e-07,3.152865342058765e-12,2.6319877636632836e-12,0.0,1.1325880664742491e-07,6.635579226261577e-07,0.0
22,[OH] + [Pt] <=> O[Pt],1.855234681216002e-08,1.055186564165617e-10,1.8523963490322213e-08,8.056115560585032e-11,1.8623066525779078e-08,1.6813815933357268e-10,-1.8466290579299813e-08,1.862661278197873e-08,1.8357678205166714e-10,3.3935842229360986e-13,2.448018248582996e-13,0.0,6.277322374612402e-10,-1.8958796016208315e-06,0.0
23,[CH]=O + [Pt] <=> O=C[Pt],2.7395735252754308e-08,1.0360454014000102e-11,2.7381667811285735e-08,1.224263339147489e-11,2.7430785579061286e-08,1.613105464531199e-11,-2.7389790893953105e-08,2.740809853662703e-08,-2.3957760314124445e-12,6.686368914497784e-13,8.151192873636415e-13,0.0,-9.311096888443445e-10,8.68944924351112e-07,0.0
24,O=C=O + 2 [Pt] <=> O=C=[Pt] + O=[Pt],-2.6563537939054056e-05,-2.3286673570701904e-05,-3.795503091776092e-05,-3.467816274967383e-05,1.819921284813832e-06,5.0967798683636375e-06,3.2768871454664125e-06,4.268635623599847e-06,7.545428959100069e-06,4.0153997320624435e-10,4.01532734721378e-10,0.0,5.238825351658248e-06,-3.949748343995875e-07,0.0
25,O + 2 [Pt] <=> [Pt] + O[Pt],-0.3444531347353745,0.8888919876962882,-0.45090309061235,0.7811245985224522,-0.07921854357486235,1.1574091436758747,1.237608102295388,0.056841305399516234,1.2951528803660692,8.28926192295876e-05,8.289261923740679e-05,0.0,1.2662002338118536,1.2417807247297017,0.0
26,CC + 2 [Pt] <=> 2 C[Pt],-0.01313458814660356,-0.0018716662290798032,-0.013689629334281899,-0.002426769941128267,-0.011751627286939183,-0.0004885496050544613,0.011264401394770933,-0.011981743336087473,-0.0007186915931102108,-6.670485148342747e-08,-6.670527820144331e-08,0.0,-0.0008243224661003537,0.011365087672165767,0.0
27,C=O + 2 [Pt] <=> O=C[Pt] + [Pt],2.0658850023384836e-07,1.749079381669063e-07,2.400992114880573e-07,2.0840339460054415e-07,1.2309198727894273e-07,9.138722704550395e-08,-3.170470506223261e-08,1.682600997389794e-07,1.3661057073010747e-07,7.943003072297843e-12,7.938200017704575e-12,0.0,8.338966170759002e-08,1.895879728921073e-06,0.0
28,C=O + 2 [Pt] <=> C=[Pt] + O=[Pt],-9.952060685773911e-08,-8.543277028179782e-07,1.426750115243074e-07,-6.121326346887133e-07,-7.029840471515669e-07,-1.4577930466111188e-06,-7.548425770639841e-07,-1.260321525180591e-07,-8.807712359412761e-07,-5.554812041869312e-11,-5.5606081482560466e-11,0.0,-8.228451218256839e-07,-1.797816864090116e-06,0.0
29,CO + 2 [Pt] <=> C[Pt] + O[Pt],-4.567622098841479e-06,1.3983800500001326e-06,-5.195311725344696e-06,7.706746780185281e-07,-3.003647748724284e-06,2.9623744799099756e-06,5.965971775586724e-06,-3.9895519335411625e-06,1.976467335243663e-06,1.752887050677843e-10,1.750536261606859e-10,0.0,3.0504663741253266e-06,2.9167379782517516e-06,0.0
30,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],2.0962723612938906e-08,-2.7460201177986612e-11,2.0963573435816654e-08,-3.832396550725741e-11,2.096060314849767e-08,-1.5803483143439255e-11,-2.099592560553007e-08,2.0955251953440196e-08,9.444512495117517e-12,2.1727898985135579e-13,1.530300577809176e-13,0.0,-3.552705388428706e-10,7.899507957807256e-08,0.0
31,C=C + 2 [Pt] <=> 2 C=[Pt],-2.2281548882447865e-07,-1.538921247124228e-06,1.7847917683400012e-07,-1.1375934428649293e-06,-1.2226959141531175e-06,-2.5388719005038106e-06,-1.3160839085902342e-06,-2.5611734355733073e-07,-1.5723622668964744e-06,-1.0160508762923778e-10,-1.0166946732993097e-10,0.0,-1.5475580170119149e-06,7.113837076219283e-14,0.0
32,C.[Pt] + [Pt] <=> C[Pt] + [Pt],-0.00043213788402892203,-0.0006018388134497437,5.0968354264267895e-05,-0.00011873345340253648,-0.0016358630011149807,-0.0018055618042598443,-0.00016970180608389662,8.889456931283217e-05,-8.080701305536223e-05,-4.141840424228827e-09,-4.141889890665518e-09,0.0,-8.276158925325912e-05,-0.00016265067669902502,0.0
33,O=C[Pt] + [Pt] <=> O=C=[Pt] + [Pt],1.597598815046312e-08,4.914615556280209e-09,1.2047152027955895e-08,1.0037537876889665e-09,2.576521766729442e-08,1.46635799099338e-08,-1.1046033543941154e-08,1.1782491646203403e-08,6.292582037020358e-10,1.3695669660992321e-13,3.4284285053876876e-14,0.0,-2.8660814277863373e-09,1.97487473361665e-06,0.0
34,C[Pt] + [H][H].[Pt] <=> C.[Pt] + [Pt],7.619485466812174e-06,9.26871409293175e-06,-1.2084515181207882e-07,1.528392951463433e-06,2.6905575446102174e-05,2.8554733416103312e-05,1.6492366894300245e-06,-1.2091739350014815e-06,4.4003446500041176e-07,1.2454342098695995e-11,1.2424745199257476e-11,0.0,5.028641386248804e-07,-2.369848587055546e-07,0.0
35,C#[Pt] + [H][H].[Pt] <=> C=[Pt] + [Pt],5.530756209828453e-05,6.733354818099142e-05,-7.331482846258991e-07,1.1292828637863853e-05,0.00019494063928903756,0.00020696663317872074,1.202596156115734e-05,-8.821113977819242e-06,3.2049027892551956e-06,9.124541579224038e-11,9.090808995308942e-11,0.0,3.7008723299385234e-06,9.716383411579866e-06,0.0
36,C=[Pt] + [H][H].[Pt] <=> C[Pt] + [Pt],1.1371661293869039e-08,8.31928719085221e-10,1.1011489088191623e-08,4.177410627011451e-10,1.226907949318435e-08,1.8167066595370177e-09,-1.0624428224517581e-08,1.0979704654508906e-08,6.244302647643483e-10,-1.691192137502739e-13,-2.1532936928566962e-13,0.0,-2.9608292381487296e-09,2.13286471492687e-06,0.0
37,C~[Pt] + [H][H].[Pt] <=> C#[Pt] + [Pt],2.2294212788937456e-06,2.68543849205153e-06,-8.564781998994962e-09,4.474400184445556e-07,7.80566893591904e-06,8.261692299878414e-06,4.5600861403578473e-07,-3.3011310455785984e-07,1.2595191209483634e-07,3.400864189090868e-12,3.473539406773104e-12,0.0,1.436253753427596e-07,-3.6337693211507505e-06,0.0
38,[H][H].[Pt] + O=[Pt] <=> [Pt] + O[Pt],0.010499246625382444,0.012794712076224882,-0.00021845001963593055,0.0020767694146197994,0.037203850346483165,0.03949992878514262,0.0022952244196594077,-0.0016777582255468,0.000617427802757413,1.7551616163698557e-08,1.755157680121488e-08,0.0,0.0007077382386129851,0.002418984470153051,0.0
