,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp,O2 Conversion,Max CH4 Conv,Dist to 50 CH4 Conv
0,[H][H] + 2 [Pt] <=> 2 [Pt],-0.0029601844010960607,-0.00503664287097656,-0.009394435143816413,-0.011457881464752066,0.0033502078193838047,0.0012913446040408185,-0.0020587941664504577,0.06419978991117715,0.062139672005949276,0.004844678543207742,-0.000490767027298823,0.13584650520972308,0.0,0.047193451517663625,0.0
1,O=C=O + [Pt] <=> O=C=O.[Pt],0.00011788402351933941,0.000184386831502934,0.0003962676909574431,0.0004627706840781064,-0.00015645774946424174,-8.99551239219135e-05,6.650272958967955e-05,-0.002588658316451244,-0.0025221573083927403,-0.00017549789210076074,6.647033856503075e-05,0.0,0.0,-0.004389599301703614,0.0
2,[C-]#[O+] + [Pt] <=> O=C=[Pt],7.240293313774341e-05,0.00012735127331075353,0.00022665993554644442,0.00028160836048639153,-7.961438859114072e-05,-2.466613195048243e-05,5.49483003921122e-05,-0.001589745164549371,-0.0015347977376947704,-0.00012466718512915828,-7.895230894691071e-05,0.0,0.0,0.00274846095307585,0.0
3,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.014637227210447924,0.029536712649780035,0.040575305153516976,0.05547865835026553,-0.010923797896850688,0.0037939050576880624,0.014897302264384528,-0.3072232485454398,-0.29262065010933863,-0.02873291447954815,0.0352464282238229,-1.0188487890728732,0.0,1.659056424401052,0.0
4,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],0.0029136114384695202,0.008255817027244526,0.0064768548326703795,0.0122123166980587,-0.0006917582958721874,0.004356849193106432,0.005048644323635942,-0.07410137384267365,-0.06905660718607039,-0.009131827499055143,0.0038253078181528146,-0.17645547869186162,0.0,-0.20605161467195723,0.0
5,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.005930081345786306,-0.012036193485047466,-0.01623985931621365,-0.022505208783224494,0.0042641216331049,-0.002163768084910098,-0.006357162905337531,0.13006660162073577,0.12360986499513943,0.012658393494465906,-0.0013968512479241948,0.4073325379992994,0.0,0.00378721958399314,0.0
6,C[Pt] + [Pt] <=> C + 2 [Pt],-2.715338221612557e-06,-4.512417020755581e-07,-1.35830386727539e-05,-1.1316997732507339e-05,7.995198660245064e-06,1.0256752797154413e-05,2.2635279813044776e-06,5.941372237893098e-05,6.16756426245515e-05,-5.024633785337408e-07,-0.00014420681623818245,0.0,0.0,-0.0026982052416160015,0.0
7,C=[Pt] + [Pt] <=> C#[Pt] + [Pt],0.000240604150706259,0.0006746817531005228,0.000596420939689133,0.0010305010208625325,-0.00011003813023749724,0.00032403702945825864,0.000434076196036865,-0.007167426101500956,-0.006733444810364609,-0.000922717806910559,-0.0002159212275781118,-0.027127868020023822,0.0,-0.0022634570006237636,0.0
8,O=C=[Pt] + [Pt] <=> C~[Pt] + O=[Pt],1.5606862275223367e-05,6.983927788291879e-05,-1.8690578631258983e-06,5.236334828375279e-05,3.282877826091907e-05,8.70612032005614e-05,5.423240713767763e-05,-0.0003356719214723921,-0.00028143969644862054,-7.686697149394183e-05,-0.00028296391279459567,0.0,0.0,0.00428663318439924,0.0
9,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],9.021010231803384e-05,0.0012620088367362482,0.00025184755496251537,0.0005851376508080053,-0.0002129052141940349,6.508304727964685e-05,0.00047633942538343073,-0.001978541813090042,-0.0017164270145830134,9.330514345670092e-09,-2.0816155889530645e-09,0.0,0.0,2.3347190681872234e-08,0.0
10,C~[Pt] + [H][H] <=> C=[Pt],-0.0004996623115971583,-0.000685539856700557,-0.0015308664507489292,-0.0015100157623898016,0.0004035576573023197,0.0001269653589705862,-0.00029823944160345243,0.010211664157211954,0.009913394547953003,0.0012763040568163644,-0.00012561855637498797,0.0,0.0,0.01088352372190415,0.0
11,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-4.0200792700216234e-08,-8.701539804359464e-08,-1.0580878684037268e-07,-1.526233860562816e-07,2.4454629077745406e-08,-2.235997841957948e-08,-4.681460122307233e-08,8.774644352195419e-07,8.306498339441324e-07,8.863983857747979e-08,-3.1513776681058385e-07,0.0,0.0,-1.4011405313001498e-05,0.0
12,O=C=[Pt] + O[Pt] <=> O=C=O.[Pt] + [Pt],0.00010912736165890213,0.00028573186861988403,0.0002306483079145667,0.0004072530294951352,-1.0629203657461537e-05,0.00016597509181159488,0.00017660431424193674,-0.0023961729839744395,-0.002219572901476013,-0.000300154410664053,-5.851970644459181e-05,0.0,0.0,-6.207499472989668e-05,0.0
13,O[Pt] + [Pt] <=> [Pt] + O=[Pt],2.394589948132095e-08,4.0191706731959325e-08,8.286718761093486e-08,9.911299599247838e-08,-3.4119909261553694e-08,-1.7874099327592464e-08,1.6245808141615442e-08,-5.518512594485562e-07,-5.356054511687217e-07,-5.3564025028770036e-05,-0.00014646555372155667,0.0,0.0,2.9714866791093417e-06,0.0
14,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-2.001424784977112e-08,-6.32092476758893e-07,8.058702660507085e-07,1.937920327808745e-07,-8.338816818506996e-07,-1.4459599122244202e-06,-6.120782318662592e-07,7.563753016999276e-07,1.4429704145840852e-07,1.0085226967205564e-06,4.996801994750704e-07,0.0,0.0,-5.006269939095686e-05,0.0
15,O + [Pt] <=> O.[Pt],1.0191379905985124e-08,-1.0353122012074035e-08,6.623970377581833e-08,4.569520541845588e-08,-4.504298817153113e-08,-6.55874907502303e-08,-2.054449818287945e-08,-2.260238434083017e-07,-2.4656834668026185e-07,1.916137535220279e-08,1.598075953418875e-07,0.0,0.0,-4.714065027167599e-06,0.0
16,O.[Pt] + [Pt] <=> [Pt] + O[Pt],0.00026001717863107844,0.0007613649101208194,0.0006806951662607192,0.0011820479873648696,-0.00015453241747618863,0.0003468102985481585,0.0005013445080370073,-0.008870070460701249,-0.008368838491406813,-0.0011749753097513177,4.46458370562433e-05,-0.027127868020023822,0.0,-0.0012754837802810403,0.0
17,O.[Pt] + O=[Pt] <=> 2 O[Pt],8.445842421811087e-05,0.00124791899733447,0.00024032154884861775,0.0005655991527261833,-0.00021498495130792768,5.992348651370766e-05,0.0004723094871337788,-0.006209802936535508,-0.0016053440605037026,1.408453087662613e-05,4.053318279622299e-06,0.0,0.0,-0.00016412576551740022,0.0
18,[H] + [Pt] <=> [Pt],0.00036616706622898283,0.000855409944109999,0.0008961806760614798,0.0013854300366992593,-0.00015612943117488038,0.00033310705834323803,0.0004892383991325262,-0.008035674606505339,-0.007546534494858202,-0.0008833425593413072,-9.120105232067308e-09,-0.027127868020023822,0.0,-2.934580662782372e-07,0.0
19,C + [Pt] <=> C.[Pt],-0.0015502363370631603,-0.002454659587709202,-0.004687754396894414,-0.005592146072658373,0.0015416596846155263,0.0007185985399788387,-0.0009044396003639635,0.02285468251562744,0.022233038252184267,0.001590941801534523,-0.020466390112196545,0.06793478260870628,0.0,-0.7219007274782258,0.0
20,[CH3] + [Pt] <=> C[Pt],2.3184291313810842e-10,3.0719896475031923e-10,-8.252876328021987e-10,-7.499253201570276e-10,1.2736248212415236e-09,1.3489902409551717e-09,7.535962752740871e-11,1.6403938335009043e-09,1.7157509617423223e-09,-9.424068872921e-10,-1.6141382490717078e-08,0.0,0.0,-2.2350639606352247e-07,0.0
21,[H][H] + [Pt] <=> [H][H].[Pt],-9.497199440231397e-06,-1.290765901581027e-05,-3.39591350003647e-05,-3.736959370585656e-05,1.4609501433380148e-05,1.1199041009120357e-05,-3.41045991555776e-06,0.00020995241444404542,0.0002065419470299174,1.2438952709572267e-05,-5.5959157607543245e-05,0.0,0.0,-0.0028206637025176445,0.0
22,[OH] + [Pt] <=> O[Pt],3.2687622408983995e-09,-5.743053107518791e-09,2.651874370655678e-08,1.753703810253582e-08,-1.9025835495129243e-08,-2.868512162386493e-08,-9.659295857213114e-09,-8.6472086033232e-08,-9.613138466115852e-08,1.0378030802329839e-08,7.641170468237253e-08,0.0,0.0,-8.915756366718403e-07,0.0
23,[CH]=O + [Pt] <=> O=C[Pt],-1.2563526409901998e-11,4.713006967768284e-10,-6.772847476188797e-10,1.4260854427915637e-10,-2.4668367012642733e-11,7.952221865111684e-10,8.198940736133867e-10,-1.471316863487532e-09,-6.514279501281403e-10,-3.964042137487493e-10,1.9134617723584424e-10,0.0,0.0,-1.6984221245018293e-09,0.0
24,O=C=O + 2 [Pt] <=> O=C=[Pt] + O=[Pt],0.0009837121408444098,0.002258509224621876,0.002482548398527628,0.003752197062892088,-0.0004831025465810067,0.000940747673909338,0.001272554396726737,-0.024982861666444613,-0.023613458921289174,-0.003165793605460153,0.0014015882762839426,-0.06792325260486004,0.0,-0.087085100353814,0.0
25,O + 2 [Pt] <=> [Pt] + O[Pt],-0.00016249662056630368,-0.004206794938103629,0.004633357670207562,0.0005888678256170457,-0.004888631594904301,-0.008932741169010652,-0.0040443067903201246,-0.003143358136253385,-0.0071876245854111225,0.004224364631096018,0.0055188523617765856,0.09509947164910938,0.0,-0.28411235186837397,0.0
26,CC + 2 [Pt] <=> 2 C[Pt],1.5872079048137813e-07,3.934699370761838e-07,3.3541547388750287e-07,5.701646260043833e-07,-1.5408440007724864e-08,2.1934070887092217e-07,2.3474914694507445e-07,-3.3408881794943255e-06,-3.10613904747915e-06,-4.113351573171579e-07,3.7352512250203974e-06,0.0,0.0,8.56013520750013e-05,0.0
27,C=O + 2 [Pt] <=> O=C[Pt] + [Pt],3.260551289225303e-09,2.3347333793428134e-08,-8.975278466582127e-09,1.1111510129654923e-08,1.5318560238511268e-08,3.5405345381385266e-08,2.008678281863741e-08,-6.811129095776587e-08,-4.802451215465712e-08,-2.4741102524612836e-08,-7.571965232482998e-08,0.0,0.0,9.452325901346818e-07,0.0
28,C=O + 2 [Pt] <=> C=[Pt] + O=[Pt],0.0002562660954779631,0.0007692158295543643,0.000651640232460858,0.0011645949670380377,-0.00013334748326787444,0.00037959732316883703,0.0005129465048933644,-0.008788243396364618,-0.00827540994557946,-0.0011861590392374896,-1.1871696941780775e-07,-0.027127868020023822,0.0,1.8819881166345113e-06,0.0
29,CO + 2 [Pt] <=> C[Pt] + O[Pt],-3.415080276153892e-08,-6.467597838600802e-08,-1.0275798651135779e-07,-1.3328316089772624e-07,3.346025525742886e-08,2.9350822106435046e-09,-3.0525173869148557e-08,7.541463867741287e-07,7.236212106565009e-07,6.368866867482274e-08,-1.2778543264790033e-07,0.0,0.0,3.796939418113298e-06,0.0
30,CC=O + 2 [Pt] <=> C[Pt] + O=C[Pt],0.0001334785677412912,0.0005923670196256068,0.00036135370236252054,0.0008202448256752351,-9.107955200715766e-05,0.00036780626732994023,0.00045888690038859217,-0.007978847481678012,-0.0075200549423990225,-0.001229163001119719,-0.0001464428424944697,-0.027127868020023822,0.0,2.7344480630267874e-06,0.0
