,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp,O2 conv,Max CH4 Conv,Dist to 50 CH4 Conv
0,0.6,0.042206109311924665,0.042142939025766865,9.79145181059091e-07,9.397813646690517e-07,0.0001244894549730542,6.146669217331187e-05,707.830472262463,707.830472262463,20.01,0.0035365123301522292,-8.195183572976788e-06,510.0
1,0.7,0.04764223879568619,0.047550884088665944,1.2548346771731083e-06,1.7654541752820564e-06,0.00017966903072217023,8.911386359785016e-05,710.9911708747272,710.9911708747272,20.01,0.005283338556178886,-1.3216102489971293e-05,510.0
2,0.8,0.052736575707115416,0.052604608692773384,1.6653591960735504e-06,3.2924592426977726e-06,0.0002588520778631799,0.00012894998607914006,715.4333479545078,715.4333479545079,20.01,0.007872042814038409,-2.2382194854998565e-05,510.0
3,0.9,0.05752037248751414,0.05732349712626536,2.408885730349897e-06,6.480149533035772e-06,0.0003846923362685002,0.00019255787966344088,722.3918057706701,722.3918057706701,52.16142857142857,0.01209235561147025,-4.330588793625273e-05,510.0
4,1.0,0.06202118410625546,0.06168758890724089,4.572603108034927e-06,1.6209210633845394e-05,0.0006469004262740167,0.00032605195330188936,736.7895252693801,736.7895252693801,70.0,0.02103178613725063,-0.00012953268571331032,510.0
5,1.1,0.0662633991614029,0.01839579352090959,0.04409006820475931,0.08716068080160687,0.008519087150543756,0.0037270579814660068,1225.485962101945,1277.435233453006,19.73,0.9971012983788511,-0.43394790637153025,70.0
6,1.2,0.07026868199272561,0.019923794028619303,0.047688300801344834,0.09497350795814959,0.005661282343097184,0.002603764854340757,1102.7924409926657,1257.4014717007194,18.4,0.9999999999998824,-0.3939419220300207,70.0
7,1.3,0.07405634272972031,0.024533518372576828,0.04691183615142745,0.0940389127898377,0.004946957671617494,0.0025537753146227084,1071.5904528213377,1240.5552042439,17.330000000000002,1.0,-0.35609111613076194,70.0
8,1.4,0.07764364861664726,0.029276387226194883,0.04574927843085634,0.09207302475248423,0.004597020450966393,0.002556696436564812,1052.8628460887933,1225.8987242260928,16.46,1.0,-0.3355098235618633,70.0
9,1.6,0.08427758988601222,0.03840661833347527,0.043196866000032995,0.08740338181959968,0.004265349304783272,0.0026056166913621896,1028.9143400960209,1201.069030069499,15.160000000000002,1.0,-0.28569976420202486,70.0
10,1.8,0.09027684884714632,0.04684610826926603,0.04068010085096655,0.08265889847316385,0.004121533727360838,0.002676065224449205,1012.9857621117011,1180.3475533292126,14.230000000000002,1.0,-0.24529832060194273,510.0
11,2.0,0.09572834938139432,0.05458823866945881,0.03830843671606276,0.07814024534649482,0.004051858910023185,0.002751921032082195,1001.0023432737994,1162.4203743509638,13.56,1.0,-0.21546704293147514,510.0
12,2.2,0.10070383531597824,0.06168827812348341,0.03610472238035795,0.07392004899887031,0.0040164876685896845,0.002826612671686121,991.35381962175,1146.5626875452106,13.06,1.0,-0.1891207086959704,510.0
13,2.4,0.10526304553491962,0.06821066338153774,0.03406696850934403,0.07000611974171211,0.003998074047142441,0.002897262889712848,983.242805214731,1132.31490705898,12.67,1.0,-0.16646531102156858,510.0
14,2.6,0.10945612414928066,0.07421672419826122,0.032185077405538276,0.06638448690338354,0.003988103738804763,0.0029626475672680586,976.2180431595829,1119.382333766322,12.38,1.0,-0.14884007345674988,510.0
